term,ccode,section,enrolled
1165,ACTSC 221,001,125
1165,ACTSC 231,001,145
1165,ACTSC 231,002,89
1165,ACTSC 232,001,82
1165,ACTSC 331,001,68
1165,ACTSC 371,001,112
1165,ACTSC 371,002,87
1165,ACTSC 372,001,165
1165,ACTSC 431,001,142
1165,ACTSC 432,001,108
1165,ACTSC 445,001,114
1165,ACTSC 631,001,18
1165,ACTSC 632,001,18
1165,ACTSC 633,001,18
1165,ACTSC 634,001,18
1165,ACTSC 635,001,18
1165,ACTSC 831,001,3
1165,ACTSC 832,001,5
1165,ACTSC 845,001,0
1165,ACTSC 991,001,12
1165,AMATH 231,001,52
1165,AMATH 242,001,33
1165,AMATH 250,001,191
1165,AMATH 332,001,37
1165,AMATH 351,001,33
1165,AMATH 353,001,24
1165,AMATH 495,001,0
1165,AMATH 495,002,0
1165,AMATH 900,001,2
1165,AMATH 900,002,1
1165,AMATH 900,003,1
1165,CS 2XX,001,1
1165,CS 100,081,234
1165,CS 104W,001,1
1165,CS 115,001,88
1165,CS 115,002,82
1165,CS 116,001,85
1165,CS 116,002,79
1165,CS 116,003,89
1165,CS 136,001,72
1165,CS 136,002,72
1165,CS 136,003,87
1165,CS 200,001,52
1165,CS 230,001,74
1165,CS 234,001,100
1165,CS 234,002,99
1165,CS 240,001,134
1165,CS 240,002,86
1165,CS 240,003,81
1165,CS 240,004,83
1165,CS 241,001,79
1165,CS 241,002,82
1165,CS 241,003,66
1165,CS 241,004,54
1165,CS 245,001,76
1165,CS 245,002,43
1165,CS 245,003,83
1165,CS 245,004,82
1165,CS 246,001,80
1165,CS 246,002,82
1165,CS 246,003,78
1165,CS 246,004,79
1165,CS 247,001,120
1165,CS 251,001,75
1165,CS 251,002,74
1165,CS 251,003,76
1165,CS 251,004,76
1165,CS 330,001,118
1165,CS 330,002,117
1165,CS 338,001,99
1165,CS 338,002,96
1165,CS 341,001,68
1165,CS 341,002,69
1165,CS 341,003,63
1165,CS 343,001,0
1165,CS 348,001,80
1165,CS 348,002,81
1165,CS 348,003,0
1165,CS 349,001,56
1165,CS 349,002,54
1165,CS 349,003,56
1165,CS 350,001,72
1165,CS 350,002,66
1165,CS 350,003,67
1165,CS 350,004,0
1165,CS 360,001,56
1165,CS 370,001,74
1165,CS 370,002,74
1165,CS 371,001,52
1165,CS 432,001,85
1165,CS 446,001,32
1165,CS 446,002,43
1165,CS 449,001,47
1165,CS 452,001,33
1165,CS 454,001,60
1165,CS 454,002,60
1165,CS 456,001,79
1165,CS 456,002,78
1165,CS 458,001,71
1165,CS 458,002,70
1165,CS 466,001,56
1165,CS 475,001,36
1165,CS 486,001,61
1165,CS 486,002,59
1165,CS 488,001,40
1165,CS 488,002,0
1165,CS 490,001,22
1165,CS 492,001,49
1165,CS 499R,001,1
1165,CS 499R,002,1
1165,CS 499R,003,1
1165,CS 499R,004,1
1165,CS 634,081,11
1165,CS 646,001,0
1165,CS 646,002,2
1165,CS 649,001,4
1165,CS 652,001,1
1165,CS 654,001,1
1165,CS 654,002,0
1165,CS 656,001,1
1165,CS 656,002,2
1165,CS 658,001,2
1165,CS 658,002,2
1165,CS 666,001,5
1165,CS 675,001,5
1165,CS 686,001,8
1165,CS 686,002,7
1165,CS 688,001,4
1165,CS 758,001,19
1165,CS 785,001,15
1165,CS 798,001,10
1165,CS 846,001,20
1165,CS 848,001,13
1165,CS 867,001,0
1165,CS 886,001,12
1165,CS 898,001,0
1165,PMATH 330,081,85
1165,PMATH 332,001,21
1165,PMATH 336,001,28
1165,PMATH 347,001,45
1165,PMATH 351,001,31
1165,PMATH 352,001,34
1165,PMATH 360,001,45
1165,PMATH 441,001,10
1165,PMATH 450,001,26
1165,PMATH 641,001,4
1165,PMATH 650,001,2
1165,PHYS 112,001,68
1165,PHYS 112,081,78
1165,PHYS 115,001,0
1165,PHYS 122,081,47
1165,PHYS 141W,025,1
1165,PHYS 233,001,0
1165,PHYS 234,001,115
1165,PHYS 239,001,27
1165,PHYS 242,001,96
1165,PHYS 260L,101,27
1165,PHYS 263,001,92
1165,PHYS 270,001,31
1165,PHYS 280,001,66
1165,PHYS 342,001,72
1165,PHYS 358,001,79
1165,PHYS 363,001,59
1165,PHYS 364,001,42
1165,PHYS 380,001,64
1165,PHYS 621,001,17
1165,PHYS 622,001,13
1165,PHYS 623,001,16
1165,PHYS 635,001,9
1165,PHYS 636,001,22
1165,PHYS 637,001,12
1165,PHYS 638,001,12
1165,PHYS 639,001,12
1165,PHYS 641,001,5
1165,PHYS 643,001,17
1165,PHYS 646,001,10
1165,PHYS 647,001,18
1165,PHYS 649,001,7
1165,PHYS 771,001,1
1165,PHYS 771,002,1
1165,PHYS 771,003,1
1165,PHYS 771,004,1
1165,PHYS 777,001,6
1165,PHYS 777,002,2
1165,PHYS 789,001,3
1165,CO 250,001,105
1165,CO 250,002,116
1165,CO 250,003,53
1165,CO 327,001,16
1165,CO 342,001,53
1165,CO 351,001,44
1165,CO 380,001,61
1165,CO 454,001,34
1165,CO 471,001,11
1165,CO 671,001,10
1165,CO 690,001,1
1165,CO 739,001,1
1165,CO 749,001,8
1165,QIC 890,001,0
1165,QIC 890,002,7
1165,QIC 890,003,2
1165,QIC 890,004,1
1165,QIC 891,001,0
1165,QIC 891,002,1
1165,QIC 895,001,2
1165,COMM 321,001,52
1165,ECE 100A,001,0
1165,ECE 100B,001,122
1165,ECE 100B,002,112
1165,ECE 100B,003,1
1165,ECE 103,001,123
1165,ECE 103,002,118
1165,ECE 106,001,122
1165,ECE 106,002,118
1165,ECE 124,001,126
1165,ECE 124,002,118
1165,ECE 155,001,122
1165,ECE 155,002,117
1165,ECE 200A,001,0
1165,ECE 200B,001,117
1165,ECE 200B,002,0
1165,ECE 206,001,47
1165,ECE 207,001,130
1165,ECE 209,001,47
1165,ECE 224,001,81
1165,ECE 242,001,129
1165,ECE 254,001,90
1165,ECE 300A,001,82
1165,ECE 300A,002,87
1165,ECE 300A,003,1
1165,ECE 300B,001,0
1165,ECE 309,001,136
1165,ECE 316,001,84
1165,ECE 316,002,89
1165,ECE 327,001,120
1165,ECE 331,001,55
1165,ECE 351,001,117
1165,ECE 358,001,107
1165,ECE 375,001,55
1165,ECE 380,001,86
1165,ECE 380,002,90
1165,ECE 400A,001,273
1165,ECE 400A,002,0
1165,ECE 400B,001,1
1165,ECE 403,001,27
1165,ECE 413,001,36
1165,ECE 414,001,6
1165,ECE 429,001,26
1165,ECE 432,001,27
1165,ECE 445,001,64
1165,ECE 452,001,12
1165,ECE 452,002,15
1165,ECE 454,001,119
1165,ECE 455,001,27
1165,ECE 457A,001,190
1165,ECE 458,001,116
1165,ECE 462,001,51
1165,ECE 463,001,39
1165,ECE 473,001,49
1165,ECE 475,001,13
1165,ECE 481,001,34
1165,ECE 486,001,34
1165,ECE 493,001,8
1165,ECE 603,001,18
1165,ECE 631,001,5
1165,ECE 632,001,9
1165,ECE 654,001,16
1165,ECE 657,001,49
1165,ECE 659,001,24
1165,ECE 663,001,17
1165,ECE 665,001,11
1165,ECE 700,001,9
1165,ECE 710,001,19
1165,ECE 710,002,13
1165,ECE 730,001,0
1165,ECE 730,002,8
1165,ECE 730,003,2
1165,ECE 754,001,8
1165,ECE 760,001,25
1165,ECE 770,001,6
1165,ECE 6607PD,001,12
1165,ECE 6608PD,001,21
1165,ECE 6617PD,001,12
1165,MATH 97,001,0
1165,MATH 106,081,103
1165,MATH 115,001,23
1165,MATH 115,002,1
1165,MATH 116,001,0
1165,MATH 117,001,21
1165,MATH 118,001,59
1165,MATH 118,002,116
1165,MATH 118,003,96
1165,MATH 118,004,93
1165,MATH 119,001,122
1165,MATH 119,002,115
1165,MATH 121W,001,1
1165,MATH 122W,001,1
1165,MATH 127,001,63
1165,MATH 127,081,32
1165,MATH 128,001,130
1165,MATH 128,081,36
1165,MATH 128,082,37
1165,MATH 135,001,105
1165,MATH 136,001,98
1165,MATH 136,002,52
1165,MATH 136,003,98
1165,MATH 136,081,74
1165,MATH 137,001,38
1165,MATH 138,001,97
1165,MATH 138,002,81
1165,MATH 170W,099,1
1165,MATH 207,001,16
1165,MATH 213,001,118
1165,MATH 218,001,74
1165,MATH 225,001,34
1165,MATH 235,001,115
1165,MATH 235,002,118
1165,MATH 235,003,87
1165,MATH 235,004,28
1165,MATH 235,081,104
1165,MATH 237,001,118
1165,MATH 237,002,116
1165,MATH 237,003,96
1165,MATH 237,004,32
1165,MATH 239,001,113
1165,MATH 239,002,114
1165,MATH 239,003,119
1165,MATH 239,004,119
1165,MATH 245,001,25
1165,MATH 247,001,22
1165,MATH 636,081,69
1165,MATH 648,081,40
1165,MATH 661,081,32
1165,MATH 690,081,36
1165,MATH 699,081,38
1165,MTHEL 131,001,97
1165,MTHEL 206A,001,4
1165,STAT 230,001,244
1165,STAT 230,002,150
1165,STAT 230,003,119
1165,STAT 230,004,33
1165,STAT 231,001,245
1165,STAT 231,002,245
1165,STAT 231,003,174
1165,STAT 330,001,143
1165,STAT 331,001,126
1165,STAT 332,001,182
1165,STAT 333,001,248
1165,STAT 334,001,57
1165,STAT 340,001,245
1165,STAT 371,001,140
1165,STAT 372,001,150
1165,STAT 430,001,110
1165,STAT 431,001,148
1165,STAT 443,001,150
1165,STAT 468,001,1
1165,STAT 830,001,12
1165,STAT 929,001,12
1165,STAT 938,001,3
1165,STAT 946,001,12
1165,STAT 946,002,1
1165,SYDE 102,001,86
1165,SYDE 112,001,85
1165,SYDE 114,001,86
1165,SYDE 121,001,1
1165,SYDE 162,001,86
1165,SYDE 182,001,82
1165,SYDE 192,001,88
1165,SYDE 211,001,36
1165,SYDE 252,001,92
1165,SYDE 283,001,2
1165,SYDE 283,002,2
1165,SYDE 301,001,92
1165,SYDE 311,001,95
1165,SYDE 351,001,94
1165,SYDE 351,002,139
1165,SYDE 361,001,91
1165,SYDE 381,001,93
1165,SYDE 381,002,0
1165,SYDE 383,001,93
1165,SYDE 661,001,8
1165,SYDE 770,001,3
1165,EARTH 121,001,135
1165,EARTH 153,001,0
1165,EARTH 221,001,76
1165,EARTH 232,001,56
1165,EARTH 458,001,115
1165,EARTH 491,081,2
1165,EARTH 671,001,32
1165,EARTH 691,001,0
1165,EARTH 691,002,0
1165,EARTH 691,003,0
1165,EARTH 691,004,3
1165,EARTH 691,005,1
1165,EARTH 691,006,1
1165,EARTH 691,007,1
1165,EARTH 691,008,2
1165,EARTH 692,001,0
1165,EARTH 692,002,0
1165,EARTH 692,003,0
1165,EARTH 692,004,0
1165,EARTH 692,005,0
1165,EARTH 692,006,7
1165,EARTH 692,007,1
1165,EARTH 692,008,1
1165,EARTH 695,001,1
1165,SE 202,001,120
1165,SE 401,001,106
1165,SE 463,001,54
1165,SE 463,002,55
1165,SE 490,001,109
1165,BIOL 120,001,59
1165,BIOL 130,001,78
1165,BIOL 239,001,146
1165,BIOL 240,081,96
1165,BIOL 241,001,175
1165,BIOL 273,001,301
1165,BIOL 303,001,126
1165,BIOL 308,001,238
1165,BIOL 309,001,133
1165,BIOL 342,001,40
1165,BIOL 354,001,121
1165,BIOL 680,001,1
1165,BIOL 680,002,1
1165,BIOL 680,003,1
1165,BIOL 680,004,1
1165,BIOL 680,005,1
1165,BIOL 680,006,1
1165,BIOL 680,007,1
1165,BIOL 681,001,1
1165,BIOL 681,002,1
1165,BIOL 681,003,0
1165,BIOL 681,004,0
1165,BIOL 681,005,0
1165,ACC 605,001,21
1165,ACC 606,001,36
1165,ACC 606,002,45
1165,ACC 609,001,41
1165,ACC 609,002,44
1165,ACC 610,001,43
1165,ACC 610,002,43
1165,ACC 610,003,37
1165,ACC 610,004,43
1165,ACC 622,001,18
1165,ACC 623,001,45
1165,ACC 662,001,11
1165,ACC 690,001,50
1165,ACC 690,002,11
1165,ACC 690,003,41
1165,ENGL 101B,081,32
1165,ENGL 108A,001,40
1165,ENGL 108D,001,31
1165,ENGL 108P,001,38
1165,ENGL 108P,002,37
1165,ENGL 109,001,23
1165,ENGL 109,002,21
1165,ENGL 109,003,21
1165,ENGL 109,004,23
1165,ENGL 109,081,335
1165,ENGL 119,001,22
1165,ENGL 119,002,24
1165,ENGL 119W,099,2
1165,ENGL 140R,001,0
1165,ENGL 140R,002,19
1165,ENGL 200B,001,34
1165,ENGL 200B,081,31
1165,ENGL 204,001,3
1165,ENGL 210C,001,36
1165,ENGL 210F,081,158
1165,ENGL 210J,001,21
1165,ENGL 251B,001,25
1165,ENGL 251B,081,27
1165,ENGL 292,081,31
1165,ENGL 294,001,30
1165,ENGL 304,001,12
1165,ENGL 306A,001,37
1165,ENGL 309A,001,25
1165,ENGL 309C,081,34
1165,ENGL 346,001,20
1165,ENGL 364,001,9
1165,ENGL 365,001,2
1165,ENGL 366,001,1
1165,ENGL 408A,001,17
1165,ENGL 410D,001,12
1165,ENGL 430A,001,13
1165,ENGL 460B,001,6
1165,ENGL 481,001,6
1165,ENGL 720,001,6
1165,ENGL 725,001,5
1165,ENGL 735,001,6
1165,ENGL 760,001,11
1165,ENGL 775,001,0
1165,ENGL 788,001,10
