term,ccode,section,enrolled
1149,ACTSC 3XX,001,1
1149,ACTSC 221,001,87
1149,ACTSC 231,001,285
1149,ACTSC 232,001,121
1149,ACTSC 232,002,1
1149,ACTSC 331,001,94
1149,ACTSC 331,002,2
1149,ACTSC 371,001,214
1149,ACTSC 372,001,206
1149,ACTSC 372,002,2
1149,ACTSC 431,001,113
1149,ACTSC 432,001,69
1149,ACTSC 432,002,2
1149,ACTSC 445,001,86
1149,ACTSC 446,001,112
1149,ACTSC 446,002,4
1149,ACTSC 453,001,4
1149,ACTSC 455,001,1
1149,ACTSC 463,001,32
1149,ACTSC 471,001,14
1149,ACTSC 471,002,1
1149,ACTSC 611,001,16
1149,ACTSC 612,001,16
1149,ACTSC 613,001,16
1149,ACTSC 614,001,16
1149,ACTSC 615,001,16
1149,ACTSC 831,001,4
1149,ACTSC 832,001,0
1149,ACTSC 845,001,8
1149,ACTSC 846,001,6
1149,ACTSC 863,001,14
1149,ACTSC 970,001,46
1149,ACTSC 972,001,11
1149,ACTSC 974,001,19
1149,ACTSC 991,001,9
1149,AMATH 231,001,28
1149,AMATH 250,001,218
1149,AMATH 250,002,1
1149,AMATH 251,001,34
1149,AMATH 271,001,19
1149,AMATH 331,001,61
1149,AMATH 350,001,80
1149,AMATH 351,001,45
1149,AMATH 390,001,31
1149,AMATH 442,001,15
1149,AMATH 456,001,40
1149,AMATH 463,001,14
1149,AMATH 473,001,13
1149,AMATH 663,001,1
1149,AMATH 673,001,0
1149,AMATH 731,001,21
1149,AMATH 732,001,11
1149,AMATH 740,001,18
1149,AMATH 751,001,14
1149,AMATH 871,001,3
1149,AMATH 900,001,1
1149,AMATH 900,002,1
1149,CS 2XX,001,1
1149,CS 4XX,001,1
1149,CS 100,081,352
1149,CS 115,001,201
1149,CS 115,002,199
1149,CS 115,003,92
1149,CS 115,004,119
1149,CS 115,005,177
1149,CS 115,006,192
1149,CS 116,001,145
1149,CS 116,002,97
1149,CS 135,001,116
1149,CS 135,002,108
1149,CS 135,003,117
1149,CS 135,004,116
1149,CS 135,005,107
1149,CS 135,006,103
1149,CS 135,007,106
1149,CS 135,008,103
1149,CS 136,001,105
1149,CS 136,002,124
1149,CS 137,001,138
1149,CS 145,001,62
1149,CS 200,001,34
1149,CS 230,001,112
1149,CS 234,001,105
1149,CS 240,001,73
1149,CS 240,002,51
1149,CS 241,001,62
1149,CS 241,002,73
1149,CS 241,003,80
1149,CS 241,004,72
1149,CS 245,001,86
1149,CS 245,002,88
1149,CS 245,003,87
1149,CS 245,004,92
1149,CS 246,001,102
1149,CS 246,002,101
1149,CS 246,003,101
1149,CS 246,004,98
1149,CS 251,001,87
1149,CS 251,002,83
1149,CS 330,001,121
1149,CS 330,002,118
1149,CS 335,001,98
1149,CS 338,001,111
1149,CS 338,002,2
1149,CS 341,001,80
1149,CS 341,002,60
1149,CS 341,003,80
1149,CS 341,004,1
1149,CS 343,001,85
1149,CS 343,002,82
1149,CS 348,001,79
1149,CS 348,002,75
1149,CS 348,003,58
1149,CS 348,004,81
1149,CS 348,005,3
1149,CS 349,001,54
1149,CS 349,002,61
1149,CS 349,003,3
1149,CS 350,001,81
1149,CS 350,002,83
1149,CS 350,003,75
1149,CS 350,004,2
1149,CS 360,001,60
1149,CS 360,002,1
1149,CS 370,001,73
1149,CS 370,002,69
1149,CS 371,001,1
1149,CS 399,001,1
1149,CS 430,001,44
1149,CS 432,001,43
1149,CS 436,001,33
1149,CS 445,001,45
1149,CS 446,001,0
1149,CS 449,001,1
1149,CS 450,001,1
1149,CS 456,001,54
1149,CS 456,002,60
1149,CS 456,003,1
1149,CS 458,001,54
1149,CS 458,002,55
1149,CS 458,003,41
1149,CS 466,001,45
1149,CS 466,002,1
1149,CS 485,001,1
1149,CS 486,001,81
1149,CS 488,001,31
1149,CS 488,002,2
1149,CS 499R,001,4
1149,CS 499R,002,1
1149,CS 636,001,1
1149,CS 645,001,10
1149,CS 656,001,0
1149,CS 656,002,0
1149,CS 658,001,2
1149,CS 658,002,4
1149,CS 658,003,0
1149,CS 666,001,11
1149,CS 686,001,10
1149,CS 688,001,4
1149,CS 690A,001,1
1149,CS 697,001,29
1149,CS 743,001,17
1149,CS 755,001,6
1149,CS 768,001,5
1149,CS 770,001,7
1149,CS 798,001,24
1149,CS 840,001,19
1149,CS 854,001,11
1149,CS 856,001,13
1149,CS 860,001,20
1149,CS 860,002,9
1149,CS 867,001,2
1149,CS 882,001,8
1149,CS 886,001,22
1149,CS 888,001,6
1149,CS 889,001,20
1149,CS 898,001,1
1149,PMATH 330,001,40
1149,PMATH 331,001,21
1149,PMATH 334,001,12
1149,PMATH 340,001,56
1149,PMATH 340,002,1
1149,PMATH 347,001,39
1149,PMATH 351,001,46
1149,PMATH 351,002,1
1149,PMATH 360,001,1
1149,PMATH 365,001,1
1149,PMATH 445,001,0
1149,PMATH 451,001,7
1149,PMATH 451,081,18
1149,PMATH 453,001,0
1149,PMATH 465,001,13
1149,PMATH 651,001,2
1149,PMATH 651,081,0
1149,PMATH 665,001,7
1149,PMATH 745,001,31
1149,PMATH 753,001,16
1149,PMATH 930,001,9
