term,ccode,section,enrolled
1159,ACTSC 221,001,94
1159,ACTSC 231,001,237
1159,ACTSC 231,002,103
1159,ACTSC 232,001,99
1159,ACTSC 331,001,106
1159,ACTSC 331,002,1
1159,ACTSC 371,001,124
1159,ACTSC 371,002,101
1159,ACTSC 372,001,175
1159,ACTSC 431,001,72
1159,ACTSC 432,001,48
1159,ACTSC 432,002,3
1159,ACTSC 445,001,84
1159,ACTSC 445,002,2
1159,ACTSC 446,001,75
1159,ACTSC 446,002,1
1159,ACTSC 453,001,2
1159,ACTSC 463,001,38
1159,ACTSC 471,001,12
1159,ACTSC 611,001,21
1159,ACTSC 612,001,21
1159,ACTSC 613,001,21
1159,ACTSC 614,001,21
1159,ACTSC 615,001,21
1159,ACTSC 831,001,9
1159,ACTSC 832,001,6
1159,ACTSC 845,001,16
1159,ACTSC 846,001,3
1159,ACTSC 970,001,40
1159,ACTSC 972,001,17
1159,ACTSC 974,001,8
1159,AMATH 231,001,22
1159,AMATH 250,001,119
1159,AMATH 250,002,103
1159,AMATH 251,001,51
1159,AMATH 271,001,33
1159,AMATH 331,001,68
1159,AMATH 350,001,119
1159,AMATH 351,001,41
1159,AMATH 442,001,10
1159,AMATH 453,001,18
1159,AMATH 456,001,46
1159,AMATH 463,001,13
1159,AMATH 473,001,11
1159,AMATH 663,001,3
1159,AMATH 673,001,2
1159,AMATH 731,001,14
1159,AMATH 732,001,9
1159,AMATH 740,001,18
1159,AMATH 751,001,7
1159,AMATH 871,001,0
1159,AMATH 875,001,5
1159,AMATH 900,001,5
1159,AMATH 900,002,7
1159,AMATH 900,003,1
1159,AMATH 900,004,1
1159,CS 2XX,001,2
1159,CS 3XX,001,2
1159,CS 4XX,001,2
1159,CS 100,081,361
1159,CS 115,001,103
1159,CS 115,002,79
1159,CS 115,003,117
1159,CS 115,004,96
1159,CS 115,005,103
1159,CS 115,006,112
1159,CS 115,007,108
1159,CS 115,008,106
1159,CS 115,009,78
1159,CS 115,010,100
1159,CS 116,001,68
1159,CS 116,002,90
1159,CS 116,003,60
1159,CS 135,001,74
1159,CS 135,002,74
1159,CS 135,003,76
1159,CS 135,004,80
1159,CS 135,005,82
1159,CS 135,006,83
1159,CS 135,007,84
1159,CS 135,008,77
1159,CS 135,009,54
1159,CS 135,010,83
1159,CS 135,011,81
1159,CS 136,001,87
1159,CS 136,002,83
1159,CS 136,003,88
1159,CS 137,001,125
1159,CS 145,001,76
1159,CS 200,001,41
1159,CS 230,001,106
1159,CS 234,001,89
1159,CS 234,002,81
1159,CS 240,001,94
1159,CS 240,002,95
1159,CS 241,001,83
1159,CS 241,002,81
1159,CS 241,003,44
1159,CS 241,004,59
1159,CS 241,005,68
1159,CS 245,001,95
1159,CS 245,002,80
1159,CS 245,003,75
1159,CS 245,004,96
1159,CS 245,005,93
1159,CS 245,006,36
1159,CS 246,001,95
1159,CS 246,002,94
