term,ccode,section,enrolled
1131,ACTSC 4XX,001,1
1131,ACTSC 231,001,184
1131,ACTSC 231,051,18
1131,ACTSC 232,001,143
1131,ACTSC 331,001,95
1131,ACTSC 371,001,236
1131,ACTSC 371,051,17
1131,ACTSC 372,001,174
1131,ACTSC 372,002,1
1131,ACTSC 433,001,98
1131,ACTSC 433,002,1
1131,ACTSC 446,001,171
1131,ACTSC 446,002,1
1131,ACTSC 446,003,1
1131,ACTSC 446,004,1
1131,ACTSC 453,001,70
1131,ACTSC 462,001,86
1131,ACTSC 621,001,14
1131,ACTSC 622,001,14
1131,ACTSC 623,001,14
1131,ACTSC 624,001,14
1131,ACTSC 625,001,14
1131,ACTSC 833,001,9
1131,ACTSC 846,001,7
1131,ACTSC 853,001,11
1131,ACTSC 862,001,25
1131,ACTSC 936,001,0
1131,ACTSC 971,001,36
1131,ACTSC 992,001,1
1131,ACTSC 992,002,2
1131,AMATH 231,001,72
1131,AMATH 242,001,37
1131,AMATH 250,001,197
1131,AMATH 331,001,27
1131,AMATH 332,001,37
1131,AMATH 342,001,21
1131,AMATH 350,001,118
1131,AMATH 353,001,54
1131,AMATH 361,001,45
1131,AMATH 373,001,33
1131,AMATH 391,001,20
1131,AMATH 451,001,33
1131,AMATH 455,001,18
1131,AMATH 475,001,27
1131,AMATH 655,001,6
1131,AMATH 675,001,3
1131,AMATH 741,001,14
1131,AMATH 777,001,17
1131,AMATH 851,001,6
1131,AMATH 876,001,6
1131,AMATH 882,001,9
1131,AMATH 900,001,6
1131,AMATH 900,002,8
1131,AMATH 900,003,1
1131,AMATH 900,004,2
1131,AMATH 900,005,1
1131,CS 2XX,001,1
1131,CS 4XX,001,2
1131,CS 4XX,002,1
1131,CS 4XX,003,1
1131,CS 100,081,313
1131,CS 115,001,96
1131,CS 115,002,97
1131,CS 115,003,93
1131,CS 115,004,79
1131,CS 116,001,74
1131,CS 116,002,94
1131,CS 116,003,78
1131,CS 116,004,100
1131,CS 116,005,96
1131,CS 116,006,98
1131,CS 116,007,59
1131,CS 116,008,67
1131,CS 116,009,80
1131,CS 116,010,0
1131,CS 120W,002,1
1131,CS 135,001,76
1131,CS 135,002,87
1131,CS 136,001,41
1131,CS 136,002,102
1131,CS 136,003,103
1131,CS 136,004,102
1131,CS 136,005,102
1131,CS 136,006,41
1131,CS 136,007,0
1131,CS 138,001,141
1131,CS 146,001,54
1131,CS 230,001,121
1131,CS 230,002,1
1131,CS 240,001,118
1131,CS 240,002,110
1131,CS 241,001,115
1131,CS 241,002,100
1131,CS 245,001,104
1131,CS 246,001,102
1131,CS 251,001,100
1131,CS 251,002,98
1131,CS 330,001,134
1131,CS 335,001,72
1131,CS 338,001,108
1131,CS 338,002,1
1131,CS 341,001,87
1131,CS 341,002,95
1131,CS 341,003,59
1131,CS 343,001,75
1131,CS 348,001,94
1131,CS 348,002,2
1131,CS 348,003,1
1131,CS 349,001,85
1131,CS 349,002,114
1131,CS 350,001,71
1131,CS 350,002,72
1131,CS 360,001,43
1131,CS 365,001,14
1131,CS 370,001,79
1131,CS 371,001,35
1131,CS 430,001,78
1131,CS 432,001,48
1131,CS 436,001,69
1131,CS 442,001,56
1131,CS 442,002,1
1131,CS 444,001,41
1131,CS 445,001,39
1131,CS 446,001,39
1131,CS 446,002,0
1131,CS 447,001,68
1131,CS 449,001,1
1131,CS 450,001,45
1131,CS 452,001,16
1131,CS 454,001,52
1131,CS 454,002,46
1131,CS 454,003,1
1131,CS 456,001,76
1131,CS 456,002,1
1131,CS 456,003,1
1131,CS 458,001,47
1131,CS 458,002,60
1131,CS 462,001,22
1131,CS 467,001,21
1131,CS 468W,001,1
1131,CS 473,001,20
1131,CS 475,001,15
1131,CS 476,001,46
1131,CS 483,001,9
1131,CS 484,001,28
1131,CS 484,002,2
1131,CS 485,001,63
1131,CS 486,001,51
1131,CS 486,002,3
1131,CS 486,003,0
1131,CS 487,001,15
1131,CS 488,001,42
1131,CS 490,001,25
1131,CS 490,002,1
1131,CS 492,001,39
1131,CS 492,002,1
1131,CS 499R,001,2
1131,CS 499R,002,1
1131,CS 499R,003,1
1131,CS 499R,004,1
1131,CS 499R,005,1
1131,CS 640,001,9
1131,CS 642,001,2
1131,CS 644,001,8
1131,CS 645,001,2
1131,CS 646,001,1
1131,CS 647,001,2
1131,CS 650,001,2
1131,CS 652,001,4
1131,CS 654,001,1
1131,CS 654,002,2
1131,CS 656,001,8
1131,CS 658,001,1
1131,CS 658,002,5
1131,CS 662,001,1
1131,CS 673,001,14
1131,CS 675,001,4
1131,CS 676,001,14
1131,CS 683,001,2
1131,CS 684,001,3
1131,CS 685,001,8
1131,CS 686,001,3
1131,CS 687,001,1
1131,CS 688,001,0
1131,CS 692,001,0
1131,CS 742,001,11
1131,CS 778,001,0
1131,CS 779,001,5
1131,CS 793,001,21
1131,CS 840,001,25
1131,CS 846,001,0
1131,CS 846,002,7
1131,CS 846,003,0
1131,CS 846,004,13
1131,CS 848,001,14
1131,CS 854,001,8
1131,CS 867,001,3
1131,CS 886,001,28
1131,CS 898,001,4
1131,CS 898,002,8
1131,CS 898,003,5
1131,PMATH 331,001,25
1131,PMATH 332,001,13
1131,PMATH 336,001,35
1131,PMATH 340,001,83
1131,PMATH 346,001,35
1131,PMATH 352,001,32
1131,PMATH 365,001,53
1131,PMATH 399,001,3
1131,PMATH 441,001,28
1131,PMATH 450,001,52
1131,PMATH 467,001,6
1131,PMATH 499,001,1
1131,PMATH 499,002,3
1131,PMATH 641,001,6
1131,PMATH 650,001,0
1131,PMATH 667,001,4
1131,PMATH 763,001,21
1131,PMATH 800,001,16
1131,PMATH 822,001,6
1131,PMATH 900,001,9
1131,PMATH 911,001,9
1131,PHYS 10,001,158
1131,PHYS 111,001,402
1131,PHYS 112,001,198
1131,PHYS 112,002,184
1131,PHYS 112,003,183
1131,PHYS 115,001,0
1131,PHYS 115,002,0
1131,PHYS 121,081,85
1131,PHYS 122,001,127
1131,PHYS 122,002,122
1131,PHYS 124,001,156
1131,PHYS 125,001,117
1131,PHYS 125,002,72
1131,PHYS 175,001,37
1131,PHYS 191,001,1
1131,PHYS 223,081,13
1131,PHYS 234,001,87
1131,PHYS 239,001,11
1131,PHYS 242,001,48
1131,PHYS 246,081,27
1131,PHYS 263,001,42
1131,PHYS 275,001,39
1131,PHYS 280,001,21
1131,PHYS 335,001,60
1131,PHYS 359,001,76
1131,PHYS 365,001,33
1131,PHYS 375,001,42
1131,PHYS 380,081,19
1131,PHYS 435,001,13
1131,PHYS 441B,001,42
1131,PHYS 444,001,21
1131,PHYS 445,001,21
1131,PHYS 467,001,25
1131,PHYS 468,001,0
1131,PHYS 476,001,30
1131,PHYS 621,001,13
1131,PHYS 622,001,19
1131,PHYS 623,001,30
1131,PHYS 635,001,16
1131,PHYS 636,001,15
1131,PHYS 637,001,20
1131,PHYS 638,001,9
1131,PHYS 639,001,15
1131,PHYS 703,001,4
1131,PHYS 705,001,7
1131,PHYS 706,001,17
1131,PHYS 713,001,1
1131,PHYS 731,001,5
1131,PHYS 752,001,0
1131,PHYS 754,001,2
1131,PHYS 768,001,0
1131,PHYS 768,002,0
1131,PHYS 769,001,1
1131,PHYS 773,001,0
