term,ccode,section,enrolled
1159,CS 2XX,001,2
1159,CS 3XX,001,2
1159,CS 4XX,001,2
1159,CS 100,081,361
1159,CS 115,001,103
1159,CS 115,002,79
1159,CS 115,003,117
1159,CS 115,004,96
1159,CS 115,005,103
1159,CS 115,006,112
1159,CS 115,007,108
1159,CS 115,008,106
1159,CS 115,009,78
1159,CS 115,010,100
1159,CS 116,001,68
1159,CS 116,002,90
1159,CS 116,003,60
1159,CS 135,001,74
1159,CS 135,002,74
1159,CS 135,003,76
1159,CS 135,004,80
1159,CS 135,005,82
1159,CS 135,006,83
1159,CS 135,007,84
1159,CS 135,008,77
1159,CS 135,009,54
1159,CS 135,010,83
1159,CS 135,011,81
1159,CS 136,001,87
1159,CS 136,002,83
1159,CS 136,003,88
1159,CS 137,001,125
1159,CS 145,001,76
1159,CS 200,001,41
1159,CS 230,001,106
1159,CS 234,001,89
1159,CS 234,002,81
1159,CS 240,001,94
1159,CS 240,002,95
1159,CS 241,001,83
1159,CS 241,002,81
1159,CS 241,003,44
1159,CS 241,004,59
1159,CS 241,005,68
1159,CS 245,001,95
1159,CS 245,002,80
1159,CS 245,003,75
1159,CS 245,004,96
1159,CS 245,005,93
1159,CS 245,006,36
1159,CS 246,001,95
1159,CS 246,002,94
1159,CS 246,003,104
1159,CS 246,004,92
1159,CS 246,005,105
1159,CS 251,001,91
1159,CS 251,002,99
1159,CS 330,001,116
1159,CS 330,002,105
1159,CS 335,001,106
1159,CS 338,001,110
1159,CS 338,002,1
1159,CS 341,001,81
1159,CS 341,002,81
1159,CS 341,003,83
1159,CS 343,001,76
1159,CS 343,002,67
1159,CS 343,003,65
1159,CS 343,004,1
1159,CS 348,001,81
1159,CS 348,002,78
1159,CS 348,003,79
1159,CS 348,004,4
1159,CS 349,001,57
1159,CS 349,002,46
1159,CS 350,001,80
1159,CS 350,002,80
1159,CS 350,003,89
1159,CS 360,001,62
1159,CS 370,001,82
1159,CS 370,002,73
1159,CS 430,001,56
1159,CS 432,001,53
1159,CS 436,001,31
1159,CS 442,001,1
1159,CS 445,001,37
1159,CS 446,001,1
1159,CS 449,001,1
1159,CS 456,001,55
1159,CS 456,002,51
1159,CS 456,003,4
1159,CS 458,001,47
1159,CS 458,002,58
1159,CS 458,003,1
1159,CS 466,001,39
1159,CS 484,001,1
1159,CS 485,001,39
1159,CS 486,001,56
1159,CS 486,002,56
1159,CS 486,003,3
1159,CS 488,001,37
1159,CS 488,002,1
1159,CS 492,001,1
1159,CS 499R,001,0
1159,CS 499R,002,1
1159,CS 499R,003,1
1159,CS 636,001,0
1159,CS 638,081,3
1159,CS 645,001,2
1159,CS 656,001,4
1159,CS 656,002,1
1159,CS 658,001,2
1159,CS 658,002,6
1159,CS 666,001,14
1159,CS 685,001,8
1159,CS 686,001,7
1159,CS 686,002,7
1159,CS 688,001,3
1159,CS 697,001,29
1159,CS 698,001,2
1159,CS 745,001,11
1159,CS 766,001,3
1159,CS 768,001,4
1159,CS 770,001,11
1159,CS 798,001,23
1159,CS 798,002,17
1159,CS 842,001,11
1159,CS 846,001,26
1159,CS 848,001,10
1159,CS 848,002,0
1159,CS 856,001,8
1159,CS 858,001,12
1159,CS 889,001,19
1159,CS 889,002,8
1159,CS 898,001,2
1159,MATH 97,001,10
1159,MATH 103,001,42
1159,MATH 103,081,30
1159,MATH 104,001,74
1159,MATH 106,001,85
1159,MATH 109,001,156
1159,MATH 109,002,138
1159,MATH 109,003,121
1159,MATH 114,001,115
1159,MATH 114,002,118
1159,MATH 115,001,138
1159,MATH 115,002,112
1159,MATH 115,003,110
1159,MATH 115,004,97
1159,MATH 115,005,95
1159,MATH 115,006,67
1159,MATH 115,007,125
1159,MATH 116,001,135
1159,MATH 116,002,120
1159,MATH 116,003,111
1159,MATH 116,004,113
1159,MATH 116,005,105
1159,MATH 116,006,94
1159,MATH 116,007,96
1159,MATH 116,008,68
1159,MATH 116,009,1
1159,MATH 116,010,1
1159,MATH 117,001,118
1159,MATH 117,002,134
1159,MATH 117,003,150
1159,MATH 117,004,116
1159,MATH 117,005,123
1159,MATH 118,001,0
1159,MATH 124,001,207
1159,MATH 127,001,113
1159,MATH 127,002,118
1159,MATH 127,003,118
1159,MATH 127,004,107
1159,MATH 127,005,99
1159,MATH 127,006,83
1159,MATH 127,007,58
1159,MATH 127,008,119
1159,MATH 127,009,42
1159,MATH 127,081,36
1159,MATH 128,001,122
1159,MATH 128,081,37
1159,MATH 135,001,54
1159,MATH 135,002,57
1159,MATH 135,003,59
1159,MATH 135,004,58
1159,MATH 135,005,55
1159,MATH 135,006,57
1159,MATH 135,007,56
1159,MATH 135,008,55
1159,MATH 135,009,56
1159,MATH 135,010,59
1159,MATH 135,011,59
1159,MATH 135,012,37
1159,MATH 135,013,56
1159,MATH 135,014,60
1159,MATH 135,015,60
1159,MATH 135,016,47
1159,MATH 135,017,41
1159,MATH 135,018,59
1159,MATH 135,019,59
1159,MATH 135,020,58
1159,MATH 135,021,54
1159,MATH 135,022,44
1159,MATH 135,023,59
1159,MATH 135,024,59
1159,MATH 135,025,53
1159,MATH 135,026,59
1159,MATH 136,001,119
1159,MATH 136,002,102
1159,MATH 136,003,50
1159,MATH 136,081,31
1159,MATH 137,001,57
1159,MATH 137,002,171
1159,MATH 137,003,117
1159,MATH 137,004,168
1159,MATH 137,005,179
1159,MATH 137,006,151
1159,MATH 137,007,153
1159,MATH 137,008,178
1159,MATH 137,009,151
1159,MATH 137,010,125
1159,MATH 138,001,115
1159,MATH 138,002,110
1159,MATH 138,003,98
1159,MATH 145,001,82
1159,MATH 147,001,85
1159,MATH 207,001,25
1159,MATH 215,001,118
1159,MATH 217,001,77
1159,MATH 218,001,70
1159,MATH 225,001,41
1159,MATH 227,001,108
1159,MATH 228,001,103
1159,MATH 229,001,14
1159,MATH 235,001,102
1159,MATH 235,002,62
1159,MATH 235,003,102
1159,MATH 235,004,104
1159,MATH 235,005,104
1159,MATH 237,001,101
1159,MATH 237,002,105
1159,MATH 237,003,101
1159,MATH 237,004,100
1159,MATH 237,005,97
1159,MATH 239,001,90
1159,MATH 239,002,100
1159,MATH 239,003,97
1159,MATH 239,004,97
1159,MATH 245,001,24
1159,MATH 247,001,38
1159,MATH 249,001,38
1159,MATH 600,081,72
1159,MATH 640,081,42
1159,MATH 650,081,26
1159,MATH 674,081,49
1159,MATH 674,082,66
1159,MATH 692,081,72
1159,STAT 3XX,001,1
1159,STAT 4XX,001,2
1159,STAT 202,001,269
1159,STAT 202,002,226
1159,STAT 206,001,120
1159,STAT 220,001,15
1159,STAT 221,001,16
1159,STAT 230,001,220
1159,STAT 230,002,135
1159,STAT 230,003,187
1159,STAT 230,004,186
1159,STAT 230,005,185
1159,STAT 230,081,53
1159,STAT 231,001,221
1159,STAT 231,002,231
1159,STAT 240,001,37
1159,STAT 322,001,31
1159,STAT 330,001,141
1159,STAT 330,002,120
1159,STAT 331,001,121
1159,STAT 331,002,68
1159,STAT 331,003,4
1159,STAT 332,001,190
1159,STAT 333,001,113
1159,STAT 333,002,118
1159,STAT 334,001,45
1159,STAT 337,001,88
1159,STAT 341,001,48
1159,STAT 371,001,95
1159,STAT 372,001,86
1159,STAT 373,001,51
1159,STAT 430,001,49
1159,STAT 430,002,3
1159,STAT 431,001,39
1159,STAT 431,002,1
1159,STAT 433,001,106
1159,STAT 433,002,1
1159,STAT 441,001,31
1159,STAT 442,001,39
1159,STAT 443,001,107
1159,STAT 443,002,1
1159,STAT 450,001,1
1159,STAT 468,001,1
1159,STAT 631,081,22
1159,STAT 830,001,7
1159,STAT 831,001,8
1159,STAT 833,001,11
1159,STAT 841,001,18
1159,STAT 842,001,7
1159,STAT 890,001,5
1159,STAT 901,001,33
1159,STAT 906,001,25
1159,STAT 931,001,5
1159,STAT 932,001,6
1159,STAT 946,001,2
1159,STAT 946,002,24
1159,STAT 974,001,15
1159,ACTSC 221,001,94
1159,ACTSC 231,001,237
1159,ACTSC 231,002,103
1159,ACTSC 232,001,99
1159,ACTSC 331,001,106
1159,ACTSC 331,002,1
1159,ACTSC 371,001,124
1159,ACTSC 371,002,101
1159,ACTSC 372,001,175
1159,ACTSC 431,001,72
1159,ACTSC 432,001,48
1159,ACTSC 432,002,3
1159,ACTSC 445,001,84
1159,ACTSC 445,002,2
1159,ACTSC 446,001,75
