term,ccode,section,enrolled
1165,CS 2XX,001,1
1165,CS 100,081,234
1165,CS 104W,001,1
1165,CS 115,001,88
1165,CS 115,002,82
1165,CS 116,001,85
1165,CS 116,002,79
1165,CS 116,003,89
1165,CS 136,001,72
1165,CS 136,002,72
1165,CS 136,003,87
1165,CS 200,001,52
1165,CS 230,001,74
1165,CS 234,001,100
1165,CS 234,002,99
1165,CS 240,001,134
1165,CS 240,002,86
1165,CS 240,003,81
1165,CS 240,004,83
1165,CS 241,001,79
1165,CS 241,002,82
1165,CS 241,003,66
1165,CS 241,004,54
1165,CS 245,001,76
1165,CS 245,002,43
1165,CS 245,003,83
1165,CS 245,004,82
1165,CS 246,001,80
1165,CS 246,002,82
1165,CS 246,003,78
1165,CS 246,004,79
1165,CS 247,001,120
1165,CS 251,001,75
1165,CS 251,002,74
1165,CS 251,003,76
1165,CS 251,004,76
1165,CS 330,001,118
1165,CS 330,002,117
1165,CS 338,001,99
1165,CS 338,002,96
1165,CS 341,001,68
1165,CS 341,002,69
1165,CS 341,003,63
1165,CS 343,001,0
1165,CS 348,001,80
1165,CS 348,002,81
1165,CS 348,003,0
1165,CS 349,001,56
1165,CS 349,002,54
1165,CS 349,003,56
1165,CS 350,001,72
1165,CS 350,002,66
1165,CS 350,003,67
1165,CS 350,004,0
1165,CS 360,001,56
1165,CS 370,001,74
1165,CS 370,002,74
1165,CS 371,001,52
1165,CS 432,001,85
1165,CS 446,001,32
1165,CS 446,002,43
1165,CS 449,001,47
1165,CS 452,001,33
1165,CS 454,001,60
1165,CS 454,002,60
1165,CS 456,001,79
1165,CS 456,002,78
1165,CS 458,001,71
1165,CS 458,002,70
1165,CS 466,001,56
1165,CS 475,001,36
1165,CS 486,001,61
1165,CS 486,002,59
1165,CS 488,001,40
1165,CS 488,002,0
1165,CS 490,001,22
1165,CS 492,001,49
1165,CS 499R,001,1
1165,CS 499R,002,1
1165,CS 499R,003,1
1165,CS 499R,004,1
1165,CS 634,081,11
1165,CS 646,001,0
1165,CS 646,002,2
1165,CS 649,001,4
1165,CS 652,001,1
1165,CS 654,001,1
1165,CS 654,002,0
1165,CS 656,001,1
1165,CS 656,002,2
1165,CS 658,001,2
1165,CS 658,002,2
1165,CS 666,001,5
1165,CS 675,001,5
1165,CS 686,001,8
1165,CS 686,002,7
1165,CS 688,001,4
1165,CS 758,001,19
1165,CS 785,001,15
1165,CS 798,001,10
1165,CS 846,001,20
1165,CS 848,001,13
1165,CS 867,001,0
1165,CS 886,001,12
1165,CS 898,001,0
1165,MATH 97,001,0
1165,MATH 106,081,103
1165,MATH 115,001,23
1165,MATH 115,002,1
1165,MATH 116,001,0
1165,MATH 117,001,21
1165,MATH 118,001,59
1165,MATH 118,002,116
1165,MATH 118,003,96
1165,MATH 118,004,93
1165,MATH 119,001,122
1165,MATH 119,002,115
1165,MATH 121W,001,1
1165,MATH 122W,001,1
1165,MATH 127,001,63
1165,MATH 127,081,32
