term,ccode,section,enrolled
1141,CS 100,081,382
1141,CS 102W,003,1
1141,CS 104W,002,1
1141,CS 115,001,196
1141,CS 115,002,193
1141,CS 116,001,244
1141,CS 116,002,7
1141,CS 116,003,249
1141,CS 116,004,56
1141,CS 116,005,245
1141,CS 135,001,90
1141,CS 135,002,90
1141,CS 136,001,66
1141,CS 136,002,109
1141,CS 136,003,110
1141,CS 136,004,93
1141,CS 136,005,81
1141,CS 136,006,71
1141,CS 138,001,153
1141,CS 146,001,59
1141,CS 230,001,118
1141,CS 240,001,55
1141,CS 240,002,91
1141,CS 240,003,75
1141,CS 241,001,67
1141,CS 241,002,82
1141,CS 241,003,80
1141,CS 245,001,63
1141,CS 245,002,69
1141,CS 246,001,73
1141,CS 246,002,71
1141,CS 251,001,110
1141,CS 251,002,90
1141,CS 330,001,156
1141,CS 330,002,0
1141,CS 338,001,112
1141,CS 341,001,84
1141,CS 341,002,85
1141,CS 341,003,78
1141,CS 341,004,3
1141,CS 343,001,75
1141,CS 348,001,34
1141,CS 348,002,46
1141,CS 348,003,2
1141,CS 349,001,70
1141,CS 349,002,63
1141,CS 349,003,73
1141,CS 349,004,2
1141,CS 350,001,76
1141,CS 350,002,91
1141,CS 350,003,1
1141,CS 360,001,53
1141,CS 365,001,23
1141,CS 370,001,87
1141,CS 371,001,43
1141,CS 399,001,1
1141,CS 430,001,64
1141,CS 436,001,56
1141,CS 442,001,59
1141,CS 444,001,43
1141,CS 445,001,38
1141,CS 446,001,33
1141,CS 447,001,69
1141,CS 448,001,33
1141,CS 450,001,38
1141,CS 452,001,14
1141,CS 454,001,50
1141,CS 454,002,48
1141,CS 456,001,69
1141,CS 456,002,2
1141,CS 458,001,56
1141,CS 458,002,66
1141,CS 462,001,20
1141,CS 467,001,16
1141,CS 476,001,39
1141,CS 483,001,7
1141,CS 485,001,35
1141,CS 486,001,59
1141,CS 487,001,13
1141,CS 488,001,44
1141,CS 488,002,1
1141,CS 489,001,0
1141,CS 490,001,33
1141,CS 492,001,43
1141,CS 499R,001,6
1141,CS 499R,002,2
1141,CS 642,001,2
1141,CS 644,001,5
1141,CS 645,001,1
1141,CS 646,001,0
1141,CS 647,001,0
1141,CS 648,001,3
1141,CS 650,001,1
1141,CS 652,001,0
1141,CS 654,001,8
1141,CS 654,002,7
1141,CS 656,001,8
1141,CS 658,001,0
1141,CS 658,002,2
1141,CS 662,001,0
1141,CS 676,001,13
1141,CS 683,001,1
1141,CS 685,001,6
1141,CS 686,001,10
1141,CS 687,001,3
1141,CS 688,001,0
1141,CS 692,001,0
1141,CS 698,001,0
1141,CS 698,002,1
1141,CS 762,001,19
1141,CS 764,001,0
1141,CS 778,001,2
1141,CS 798,001,24
1141,CS 798,002,24
1141,CS 842,001,0
1141,CS 846,001,9
1141,CS 846,002,0
1141,CS 846,003,13
1141,CS 848,001,8
1141,CS 854,001,0
1141,CS 856,001,5
1141,CS 860,001,8
1141,CS 867,001,1
1141,CS 886,001,27
1141,CS 888,001,7
1141,CS 898,001,7
1141,CS 898,002,12
1141,CS 898,003,0
1141,MATH 97,001,1
1141,MATH 103,081,30
1141,MATH 103W,003,1
1141,MATH 104,001,49
1141,MATH 104,081,36
1141,MATH 104W,002,0
1141,MATH 106,001,101
1141,MATH 106,081,32
1141,MATH 115,001,1
1141,MATH 118,001,78
1141,MATH 118,002,144
1141,MATH 118,003,74
1141,MATH 118,004,123
1141,MATH 118,005,2
1141,MATH 119,001,152
1141,MATH 119,002,149
1141,MATH 119,003,104
1141,MATH 121W,002,1
1141,MATH 122W,004,1
1141,MATH 127,001,98
1141,MATH 127,002,96
1141,MATH 127,003,98
1141,MATH 127,004,78
1141,MATH 127,081,31
1141,MATH 128,001,92
1141,MATH 128,002,111
1141,MATH 128,003,118
1141,MATH 128,004,126
1141,MATH 128,005,124
1141,MATH 128,006,116
1141,MATH 128,081,33
1141,MATH 129W,004,4
1141,MATH 135,001,55
1141,MATH 135,002,99
1141,MATH 135,003,98
1141,MATH 135,004,154
1141,MATH 135,005,90
1141,MATH 135,006,94
1141,MATH 135,007,89
1141,MATH 136,001,119
1141,MATH 136,002,58
1141,MATH 136,003,192
1141,MATH 136,004,189
1141,MATH 136,005,193
1141,MATH 136,006,184
1141,MATH 136,007,62
1141,MATH 136,008,101
1141,MATH 136,081,76
1141,MATH 137,001,49
1141,MATH 137,002,105
1141,MATH 137,003,109
1141,MATH 138,001,116
1141,MATH 138,002,172
1141,MATH 138,003,189
1141,MATH 138,004,152
1141,MATH 138,005,190
1141,MATH 138,006,191
1141,MATH 138,007,51
1141,MATH 138,008,50
1141,MATH 138,009,120
1141,MATH 146,001,58
1141,MATH 148,001,80
1141,MATH 170W,002,1
1141,MATH 201W,003,1
1141,MATH 207,001,18
1141,MATH 215,001,88
1141,MATH 215,002,90
1141,MATH 217,001,74
1141,MATH 225,081,25
1141,MATH 228,001,22
1141,MATH 235,001,87
1141,MATH 235,002,115
1141,MATH 235,003,1
1141,MATH 237,001,86
1141,MATH 237,002,118
1141,MATH 239,001,81
1141,MATH 239,002,89
1141,MATH 239,003,88
1141,MATH 247,001,5
1141,MATH 249,001,18
1141,MATH 631,081,35
1141,MATH 641,081,47
1141,MATH 647,081,62
1141,MATH 674,081,59
1141,MATH 699,081,39
1141,STAT 3XX,001,0
1141,STAT 4XX,001,1
1141,STAT 202,001,162
1141,STAT 202,002,109
1141,STAT 211,001,201
1141,STAT 211,002,189
1141,STAT 220,001,23
1141,STAT 221,001,17
1141,STAT 230,001,198
1141,STAT 230,002,134
1141,STAT 231,001,117
1141,STAT 231,002,38
1141,STAT 231,003,186
1141,STAT 231,004,199
1141,STAT 241,001,31
1141,STAT 316,001,131
1141,STAT 321,001,36
1141,STAT 330,001,22
1141,STAT 330,002,100
1141,STAT 331,001,116
1141,STAT 333,001,115
1141,STAT 333,002,63
1141,STAT 340,001,73
1141,STAT 340,002,174
1141,STAT 371,001,82
1141,STAT 372,001,94
1141,STAT 431,001,110
1141,STAT 435,001,19
1141,STAT 436,001,12
1141,STAT 437,001,14
1141,STAT 440,001,20
1141,STAT 443,001,109
1141,STAT 443,002,43
1141,STAT 444,001,31
1141,STAT 450,001,99
1141,STAT 454,001,98
1141,STAT 631,001,0
1141,STAT 835,001,5
1141,STAT 836,001,5
1141,STAT 837,001,12
1141,STAT 840,001,8
1141,STAT 844,001,11
1141,STAT 850,001,45
1141,STAT 854,001,16
1141,STAT 902,001,23
1141,STAT 908,001,9
1141,STAT 935,001,13
1141,STAT 946,001,11
1141,ACTSC 4XX,001,2
1141,ACTSC 231,001,187
1141,ACTSC 232,001,143
1141,ACTSC 331,001,90
1141,ACTSC 331,002,1
1141,ACTSC 371,001,233
1141,ACTSC 372,001,141
1141,ACTSC 372,002,1
1141,ACTSC 431,001,2
1141,ACTSC 433,001,91
1141,ACTSC 445,001,1
1141,ACTSC 446,001,182
1141,ACTSC 446,002,2
1141,ACTSC 455,001,23
1141,ACTSC 462,001,110
1141,ACTSC 621,001,20
1141,ACTSC 622,001,20
1141,ACTSC 623,001,20
1141,ACTSC 624,001,20
1141,ACTSC 625,001,20
1141,ACTSC 833,001,0
1141,ACTSC 846,001,4
1141,ACTSC 855,001,6
1141,ACTSC 862,001,12
1141,ACTSC 971,001,40
1141,ACTSC 991,001,15
1141,AMATH 231,001,47
1141,AMATH 242,001,34
1141,AMATH 250,001,181
1141,AMATH 250,002,1
1141,AMATH 331,001,40
1141,AMATH 332,001,37
1141,AMATH 342,001,27
1141,AMATH 350,001,118
1141,AMATH 350,002,0
1141,AMATH 353,001,47
1141,AMATH 361,001,30
1141,AMATH 373,001,17
1141,AMATH 382,001,24
1141,AMATH 451,001,25
1141,AMATH 455,001,22
1141,AMATH 475,001,19
1141,AMATH 495,001,1
1141,AMATH 495,002,1
1141,AMATH 655,001,2
1141,AMATH 675,001,0
1141,AMATH 741,001,13
1141,AMATH 777,001,26
1141,AMATH 872,001,3
1141,AMATH 881,001,7
1141,AMATH 900,001,5
1141,AMATH 900,002,0
1141,AMATH 900,003,0
1141,AMATH 900,004,0
1141,AMATH 900,005,3
1141,AMATH 900,006,3
1141,AMATH 900,007,9
1141,AMATH 900,008,2
1141,CO 227,001,49
1141,CO 250,001,89
1141,CO 250,002,102
1141,CO 255,001,21
1141,CO 327,001,24
1141,CO 331,001,31
1141,CO 331,002,1
1141,CO 342,001,1
1141,CO 353,001,38
1141,CO 367,001,25
1141,CO 370,001,118
1141,CO 372,001,97
1141,CO 434,001,7
1141,CO 466,001,1
1141,CO 480,001,2
1141,CO 481,001,5
1141,CO 487,001,116
1141,CO 487,002,1
1141,CO 499,001,1
1141,CO 634,001,7
1141,CO 666,001,18
1141,CO 687,001,3
1141,CO 739,001,2
1141,CO 754,001,14
1141,CO 781,001,1
1141,PMATH 330,001,1
1141,PMATH 331,001,24
1141,PMATH 332,001,15
1141,PMATH 336,001,32
1141,PMATH 340,001,50
