term,ccode,section,enrolled
1135,CS 100,081,131
1135,CS 115,001,126
1135,CS 116,001,110
1135,CS 116,002,110
1135,CS 136,001,51
1135,CS 136,002,63
1135,CS 136,003,88
1135,CS 138,001,1
1135,CS 200,001,25
1135,CS 202W,001,1
1135,CS 212W,001,1
1135,CS 234,001,69
1135,CS 234,002,70
1135,CS 240,001,104
1135,CS 240,002,89
1135,CS 240,003,90
1135,CS 241,001,89
1135,CS 241,002,89
1135,CS 245,001,79
1135,CS 245,002,94
1135,CS 246,001,92
1135,CS 246,002,79
1135,CS 247,001,94
1135,CS 251,001,75
1135,CS 251,002,82
1135,CS 330,001,119
1135,CS 330,002,114
1135,CS 338,001,116
1135,CS 341,001,73
1135,CS 341,002,73
1135,CS 348,001,72
1135,CS 349,001,65
1135,CS 349,002,58
1135,CS 350,001,53
1135,CS 350,002,56
1135,CS 360,001,47
1135,CS 370,001,60
1135,CS 370,002,51
1135,CS 371,001,30
1135,CS 399,001,1
1135,CS 399,002,1
1135,CS 399,003,1
1135,CS 432,001,81
1135,CS 446,001,48
1135,CS 449,001,36
1135,CS 452,001,24
1135,CS 454,001,76
1135,CS 456,001,54
1135,CS 456,002,49
1135,CS 458,001,65
1135,CS 466,001,54
1135,CS 482,001,8
1135,CS 486,001,51
1135,CS 486,002,48
1135,CS 488,001,32
1135,CS 492,001,0
1135,CS 499R,001,1
1135,CS 499R,002,0
1135,CS 499R,003,0
1135,CS 646,001,11
1135,CS 649,001,4
1135,CS 652,001,0
1135,CS 654,001,1
1135,CS 655,001,0
1135,CS 656,001,1
1135,CS 656,002,0
1135,CS 658,001,4
1135,CS 666,001,3
1135,CS 682,001,6
1135,CS 686,001,0
1135,CS 686,002,1
1135,CS 688,001,0
1135,CS 692,001,0
1135,CS 763,001,14
1135,CS 784,001,9
1135,CS 798,001,14
1135,CS 848,001,5
1135,CS 858,001,8
1135,CS 886,001,14
1135,CS 886,002,9
1135,CS 889,001,19
1135,MATH 97,001,0
1135,MATH 106,081,70
1135,MATH 115,001,25
