term,ccode,section,enrolled
1181,ACTSC 2XX,001,1
1181,ACTSC 4XX,001,1
1181,ACTSC 221,081,87
1181,ACTSC 231,001,91
1181,ACTSC 231,002,89
1181,ACTSC 231,081,29
1181,ACTSC 232,001,72
1181,ACTSC 331,001,61
1181,ACTSC 331,002,1
1181,ACTSC 371,001,150
1181,ACTSC 371,002,88
1181,ACTSC 372,001,83
1181,ACTSC 372,002,100
1181,ACTSC 372,003,1
1181,ACTSC 431,001,20
1181,ACTSC 431,002,2
1181,ACTSC 433,001,62
1181,ACTSC 433,002,1
1181,ACTSC 433,003,1
1181,ACTSC 445,001,1
1181,ACTSC 446,001,72
1181,ACTSC 446,002,43
1181,ACTSC 446,003,2
1181,ACTSC 455,001,32
1181,ACTSC 468,001,16
1181,ACTSC 471,001,2
1181,ACTSC 621,001,14
1181,ACTSC 622,001,14
1181,ACTSC 623,001,14
1181,ACTSC 624,001,14
1181,ACTSC 625,001,14
1181,ACTSC 833,001,9
1181,ACTSC 846,001,2
1181,ACTSC 855,001,7
1181,ACTSC 964,001,19
1181,ACTSC 966,001,11
1181,ACTSC 971,001,20
1181,AMATH 231,001,72
1181,AMATH 242,001,44
1181,AMATH 250,001,74
1181,AMATH 250,002,88
1181,AMATH 331,001,55
1181,AMATH 332,001,44
1181,AMATH 342,001,23
1181,AMATH 350,001,103
1181,AMATH 353,001,52
1181,AMATH 361,001,35
1181,AMATH 373,001,50
1181,AMATH 382,001,29
1181,AMATH 451,001,20
1181,AMATH 455,001,12
1181,AMATH 475,001,9
1181,AMATH 495,001,3
1181,AMATH 495,002,0
1181,AMATH 655,001,1
1181,AMATH 675,001,2
1181,AMATH 741,001,14
1181,AMATH 777,001,14
1181,AMATH 867,001,2
1181,AMATH 872,001,6
1181,AMATH 881,001,7
1181,AMATH 900,001,2
1181,AMATH 900,002,2
1181,AMATH 900,003,3
1181,AMATH 900,004,1
1181,CS 2XX,001,1
1181,CS 3XX,001,2
1181,CS 4XX,001,2
1181,CS 100,081,430
1181,CS 106,001,55
1181,CS 106,002,106
1181,CS 115,001,86
1181,CS 115,002,91
1181,CS 115,003,88
1181,CS 115,004,84
1181,CS 116,001,72
1181,CS 116,002,17
1181,CS 116,003,89
1181,CS 116,004,75
1181,CS 116,005,46
1181,CS 116,006,90
1181,CS 116,007,90
1181,CS 116,008,44
1181,CS 116,009,90
1181,CS 116,010,50
1181,CS 116,011,29
1181,CS 135,001,83
1181,CS 135,002,73
1181,CS 136,001,68
1181,CS 136,002,65
1181,CS 136,003,90
1181,CS 136,004,88
1181,CS 136,005,90
1181,CS 136,006,76
1181,CS 136,007,67
1181,CS 136,008,73
1181,CS 136,009,88
1181,CS 136,010,88
1181,CS 136,011,42
1181,CS 138,001,140
1181,CS 146,001,78
1181,CS 200,001,89
1181,CS 212W,001,0
1181,CS 212W,002,2
1181,CS 230,001,205
1181,CS 240,001,82
1181,CS 240,002,80
1181,CS 240,003,75
1181,CS 240,004,78
1181,CS 240E,001,37
1181,CS 241,001,79
1181,CS 241,002,56
1181,CS 241,003,46
1181,CS 241,004,80
1181,CS 241,005,77
1181,CS 245,001,69
1181,CS 245,002,60
1181,CS 245,003,33
1181,CS 245,004,1
1181,CS 246,001,46
1181,CS 246,002,79
1181,CS 246,003,69
1181,CS 251,001,76
1181,CS 251,002,80
1181,CS 251,003,79
1181,CS 251,004,78
1181,CS 330,001,150
