term,ccode,section,enrolled
1169,CS 1XX,001,1
1169,CS 2XX,001,1
1169,CS 3XX,001,2
1169,CS 4XX,001,1
1169,CS 4XX,002,1
1169,CS 100,081,357
1169,CS 105,001,102
1169,CS 105,002,49
1169,CS 115,001,90
1169,CS 115,002,89
1169,CS 115,003,92
1169,CS 115,004,96
1169,CS 115,005,92
1169,CS 115,006,90
1169,CS 115,007,88
1169,CS 115,008,90
1169,CS 115,009,86
1169,CS 116,001,55
1169,CS 116,002,88
1169,CS 116,003,86
1169,CS 135,001,86
1169,CS 135,002,89
1169,CS 135,003,85
1169,CS 135,004,87
1169,CS 135,005,83
1169,CS 135,006,88
1169,CS 135,007,87
1169,CS 135,008,87
1169,CS 135,009,89
1169,CS 135,010,85
1169,CS 135,011,79
1169,CS 136,001,78
1169,CS 136,002,89
1169,CS 136,003,88
1169,CS 136,004,1
1169,CS 137,001,133
1169,CS 145,001,71
1169,CS 200,001,76
1169,CS 202W,001,0
1169,CS 234,001,118
1169,CS 234,002,115
1169,CS 234,003,1
1169,CS 240,001,69
1169,CS 240,002,64
1169,CS 240,003,67
1169,CS 241,001,73
1169,CS 241,002,70
1169,CS 241,003,38
1169,CS 241,004,78
1169,CS 241,005,56
1169,CS 245,001,69
1169,CS 245,002,79
1169,CS 245,003,77
1169,CS 245,004,80
1169,CS 245,005,79
1169,CS 245,006,45
1169,CS 245,007,51
1169,CS 246,001,80
1169,CS 246,002,80
1169,CS 246,003,75
1169,CS 246,004,79
1169,CS 246,005,78
1169,CS 246,006,80
1169,CS 246,007,80
1169,CS 246,008,1
1169,CS 251,001,79
1169,CS 251,002,56
1169,CS 251,003,64
1169,CS 330,001,107
1169,CS 330,002,109
1169,CS 330,003,2
1169,CS 335,001,110
1169,CS 338,001,127
1169,CS 341,001,74
1169,CS 341,002,74
1169,CS 341,003,71
1169,CS 341,004,72
1169,CS 341,005,3
1169,CS 343,001,67
1169,CS 343,002,60
1169,CS 343,003,61
1169,CS 343,004,27
1169,CS 343,005,2
1169,CS 348,001,64
1169,CS 348,002,69
1169,CS 348,003,32
1169,CS 348,004,49
1169,CS 348,005,52
1169,CS 348,006,3
1169,CS 349,001,68
1169,CS 349,002,63
1169,CS 349,003,1
1169,CS 349,004,1
1169,CS 350,001,70
1169,CS 350,002,54
1169,CS 350,003,60
1169,CS 350,004,48
1169,CS 350,005,65
1169,CS 350,006,2
