term,ccode,section,enrolled
1171,CS 2XX,001,1
1171,CS 3XX,001,1
1171,CS 4XX,001,1
1171,CS 100,081,408
1171,CS 104W,003,1
1171,CS 106,001,90
1171,CS 106,002,21
1171,CS 115,001,86
1171,CS 115,002,87
1171,CS 115,003,87
1171,CS 115,004,87
1171,CS 116,001,89
1171,CS 116,002,71
1171,CS 116,003,89
1171,CS 116,004,87
1171,CS 116,005,89
1171,CS 116,006,68
1171,CS 116,007,62
1171,CS 116,008,71
1171,CS 116,009,87
1171,CS 116,010,64
1171,CS 135,001,92
1171,CS 135,002,93
1171,CS 136,001,70
1171,CS 136,002,65
1171,CS 136,003,85
1171,CS 136,004,90
1171,CS 136,005,68
1171,CS 136,006,89
1171,CS 136,007,81
1171,CS 136,008,91
1171,CS 136,009,88
1171,CS 136,010,89
1171,CS 136,011,32
1171,CS 138,001,135
1171,CS 146,001,67
1171,CS 230,001,150
1171,CS 240,001,83
1171,CS 240,002,78
1171,CS 240,003,80
1171,CS 240,004,80
1171,CS 240,005,40
1171,CS 240,006,1
1171,CS 241,001,72
1171,CS 241,002,80
1171,CS 241,003,79
1171,CS 241,004,58
1171,CS 241,005,70
1171,CS 245,001,74
1171,CS 245,002,81
1171,CS 245,003,28
1171,CS 246,001,81
1171,CS 246,002,75
1171,CS 246,003,77
1171,CS 251,001,80
1171,CS 251,002,78
1171,CS 251,003,70
1171,CS 251,004,72
1171,CS 251,005,0
1171,CS 330,001,150
1171,CS 330,002,49
1171,CS 335,001,92
1171,CS 338,001,149
1171,CS 338,002,0
1171,CS 341,001,72
1171,CS 341,002,70
1171,CS 341,003,67
1171,CS 341,004,66
1171,CS 341,005,58
1171,CS 341,006,1
1171,CS 343,001,76
1171,CS 343,002,1
1171,CS 348,001,66
1171,CS 348,002,66
1171,CS 348,003,9
1171,CS 349,001,68
1171,CS 349,002,67
1171,CS 349,003,51
1171,CS 349,004,55
1171,CS 349,005,2
1171,CS 350,001,72
1171,CS 350,002,68
1171,CS 350,003,56
1171,CS 350,004,70
1171,CS 350,005,4
1171,CS 360,001,57
1171,CS 360,002,1
1171,CS 365,001,41
1171,CS 370,001,69
1171,CS 370,002,67
1171,CS 370,003,66
1171,CS 371,001,37
1171,CS 430,001,88
1171,CS 436,001,62
1171,CS 436,002,1
1171,CS 442,001,59
1171,CS 444,001,46
1171,CS 445,001,42
1171,CS 445,002,1
1171,CS 446,001,57
1171,CS 447,001,85
1171,CS 448,001,25
1171,CS 448,002,1
1171,CS 450,001,45
1171,CS 452,001,24
1171,CS 454,001,59
1171,CS 454,002,60
1171,CS 454,003,1
1171,CS 456,001,60
1171,CS 456,002,60
1171,CS 458,001,71
1171,CS 458,002,76
1171,CS 462,001,26
1171,CS 467,001,15
1171,CS 476,001,48
1171,CS 482,001,18
1171,CS 486,001,69
1171,CS 486,002,68
1171,CS 486,003,1
1171,CS 487,001,16
1171,CS 488,001,46
1171,CS 489,001,19
1171,CS 489,002,57
1171,CS 489,003,72
1171,CS 490,001,33
1171,CS 490,002,3
1171,CS 492,001,47
1171,CS 492,002,10
1171,CS 499R,001,1
1171,CS 499R,002,1
1171,CS 499R,003,1
1171,CS 636,001,0
1171,CS 642,001,3
1171,CS 644,001,6
1171,CS 645,001,2
1171,CS 646,001,1
1171,CS 647,001,1
1171,CS 648,001,3
1171,CS 650,001,0
1171,CS 652,001,0
1171,CS 654,001,4
1171,CS 654,002,2
1171,CS 656,001,3
1171,CS 656,002,1
1171,CS 658,001,1
1171,CS 658,002,1
1171,CS 662,001,1
1171,CS 676,001,16
1171,CS 682,001,3
1171,CS 686,001,4
1171,CS 686,002,6
1171,CS 687,001,4
1171,CS 688,001,1
1171,CS 698,001,7
1171,CS 698,002,16
1171,CS 698,003,14
1171,CS 698,004,2
1171,CS 778,001,4
1171,CS 792,001,13
1171,CS 792,081,17
1171,CS 798,001,21
1171,CS 798,002,18
1171,CS 846,001,25
1171,CS 848,001,9
1171,CS 856,001,19
1171,CS 860,001,16
1171,CS 867,001,3
1171,CS 867,002,0
1171,CS 886,001,25
1171,CS 889,001,16
1171,CS 898,001,10
1171,CS 898,002,16
1171,CS 898,003,1
1171,MATH 97,001,3
1171,MATH 103,081,43
1171,MATH 104,001,37
1171,MATH 104,081,36
1171,MATH 106,001,97
1171,MATH 115,001,1
1171,MATH 116,001,1
1171,MATH 118,001,75
1171,MATH 118,002,139
1171,MATH 118,003,77
1171,MATH 118,004,120
1171,MATH 118,005,108
1171,MATH 118,006,1
1171,MATH 119,001,138
1171,MATH 119,002,132
1171,MATH 119,003,118
1171,MATH 122W,004,1
1171,MATH 127,001,94
1171,MATH 127,002,75
1171,MATH 127,003,92
1171,MATH 127,081,36
1171,MATH 128,001,111
1171,MATH 128,002,98
1171,MATH 128,003,73
1171,MATH 128,004,99
1171,MATH 128,005,63
1171,MATH 128,006,116
1171,MATH 128,007,89
1171,MATH 128,081,37
1171,MATH 135,001,61
1171,MATH 135,002,66
1171,MATH 135,003,65
1171,MATH 135,004,66
1171,MATH 135,005,67
1171,MATH 135,006,64
1171,MATH 135,007,66
1171,MATH 135,008,85
1171,MATH 135,009,67
1171,MATH 135,010,63
1171,MATH 136,001,191
1171,MATH 136,002,188
1171,MATH 136,003,171
1171,MATH 136,004,109
1171,MATH 136,005,88
1171,MATH 136,006,72
1171,MATH 136,007,60
1171,MATH 136,008,49
1171,MATH 136,009,191
1171,MATH 136,081,23
1171,MATH 137,001,43
1171,MATH 137,002,70
1171,MATH 137,003,82
1171,MATH 138,001,192
1171,MATH 138,002,191
1171,MATH 138,003,190
1171,MATH 138,004,190
1171,MATH 138,005,83
1171,MATH 138,006,114
1171,MATH 138,007,190
1171,MATH 138,008,61
1171,MATH 138,009,194
1171,MATH 138,010,0
1171,MATH 146,001,73
1171,MATH 146,002,58
1171,MATH 148,001,56
1171,MATH 148,002,49
1171,MATH 207,001,32
1171,MATH 215,001,112
1171,MATH 215,002,111
1171,MATH 217,001,61
1171,MATH 225,081,58
1171,MATH 228,001,34
1171,MATH 235,001,146
1171,MATH 235,002,132
1171,MATH 237,001,96
1171,MATH 237,002,130
1171,MATH 237,003,0
1171,MATH 239,001,123
1171,MATH 239,002,123
1171,MATH 239,003,124
1171,MATH 239,004,0
1171,MATH 247,001,14
1171,MATH 249,001,32
1171,MATH 630,081,63
1171,MATH 641,081,80
1171,MATH 647,081,48
1171,MATH 674,081,89
1171,MATH 699,081,31
1171,STAT 3XX,001,5
1171,STAT 4XX,001,1
1171,STAT 202,001,118
1171,STAT 202,002,134
1171,STAT 211,001,117
1171,STAT 211,002,175
1171,STAT 211,003,132
1171,STAT 220,001,29
1171,STAT 221,001,28
1171,STAT 230,001,96
1171,STAT 230,002,109
1171,STAT 230,003,194
1171,STAT 230,081,62
1171,STAT 231,001,132
1171,STAT 231,002,200
1171,STAT 231,003,172
1171,STAT 231,004,95
1171,STAT 231,081,35
1171,STAT 241,001,42
1171,STAT 316,001,83
1171,STAT 321,001,53
1171,STAT 330,001,104
1171,STAT 330,002,113
1171,STAT 331,001,154
1171,STAT 332,001,117
1171,STAT 332,002,1
1171,STAT 333,001,86
1171,STAT 333,002,49
1171,STAT 333,003,2
1171,STAT 340,001,138
1171,STAT 340,002,140
1171,STAT 341,001,1
1171,STAT 371,001,67
1171,STAT 372,001,101
1171,STAT 372,002,2
1171,STAT 431,001,183
1171,STAT 435,001,17
1171,STAT 436,001,20
1171,STAT 437,001,18
1171,STAT 440,001,46
1171,STAT 441,001,48
1171,STAT 442,001,57
1171,STAT 443,001,145
1171,STAT 443,002,0
1171,STAT 444,001,36
1171,STAT 450,001,140
1171,STAT 454,001,56
1171,STAT 469,001,1
1171,STAT 835,001,2
1171,STAT 836,001,0
1171,STAT 837,001,8
1171,STAT 840,001,8
1171,STAT 841,001,10
1171,STAT 842,001,11
1171,STAT 844,001,3
1171,STAT 850,001,51
1171,STAT 854,001,21
1171,STAT 902,001,24
1171,STAT 908,001,18
1171,STAT 935,001,10
1171,STAT 946,001,2
1171,STAT 946,002,10
1171,ACTSC 3XX,001,1
1171,ACTSC 221,081,66
1171,ACTSC 231,001,116
1171,ACTSC 231,002,88
1171,ACTSC 232,001,118
1171,ACTSC 331,001,51
1171,ACTSC 371,001,111
1171,ACTSC 371,002,130
1171,ACTSC 372,001,101
1171,ACTSC 372,002,30
1171,ACTSC 432,001,1
1171,ACTSC 433,001,62
1171,ACTSC 433,002,1
1171,ACTSC 445,001,1
1171,ACTSC 446,001,136
1171,ACTSC 446,002,2
1171,ACTSC 453,001,15
