term,ccode,section,enrolled
1149,CS 2XX,001,1
1149,CS 4XX,001,1
1149,CS 100,081,352
1149,CS 115,001,201
1149,CS 115,002,199
1149,CS 115,003,92
1149,CS 115,004,119
1149,CS 115,005,177
1149,CS 115,006,192
1149,CS 116,001,145
1149,CS 116,002,97
1149,CS 135,001,116
1149,CS 135,002,108
1149,CS 135,003,117
1149,CS 135,004,116
1149,CS 135,005,107
1149,CS 135,006,103
1149,CS 135,007,106
1149,CS 135,008,103
1149,CS 136,001,105
1149,CS 136,002,124
1149,CS 137,001,138
1149,CS 145,001,62
1149,CS 200,001,34
1149,CS 230,001,112
1149,CS 234,001,105
1149,CS 240,001,73
1149,CS 240,002,51
1149,CS 241,001,62
1149,CS 241,002,73
1149,CS 241,003,80
1149,CS 241,004,72
1149,CS 245,001,86
1149,CS 245,002,88
1149,CS 245,003,87
1149,CS 245,004,92
1149,CS 246,001,102
1149,CS 246,002,101
1149,CS 246,003,101
1149,CS 246,004,98
1149,CS 251,001,87
1149,CS 251,002,83
1149,CS 330,001,121
1149,CS 330,002,118
1149,CS 335,001,98
1149,CS 338,001,111
1149,CS 338,002,2
1149,CS 341,001,80
1149,CS 341,002,60
1149,CS 341,003,80
1149,CS 341,004,1
1149,CS 343,001,85
1149,CS 343,002,82
1149,CS 348,001,79
1149,CS 348,002,75
1149,CS 348,003,58
1149,CS 348,004,81
1149,CS 348,005,3
1149,CS 349,001,54
1149,CS 349,002,61
1149,CS 349,003,3
1149,CS 350,001,81
1149,CS 350,002,83
1149,CS 350,003,75
1149,CS 350,004,2
1149,CS 360,001,60
1149,CS 360,002,1
1149,CS 370,001,73
1149,CS 370,002,69
1149,CS 371,001,1
1149,CS 399,001,1
1149,CS 430,001,44
1149,CS 432,001,43
1149,CS 436,001,33
1149,CS 445,001,45
1149,CS 446,001,0
1149,CS 449,001,1
1149,CS 450,001,1
1149,CS 456,001,54
1149,CS 456,002,60
1149,CS 456,003,1
1149,CS 458,001,54
1149,CS 458,002,55
1149,CS 458,003,41
1149,CS 466,001,45
1149,CS 466,002,1
1149,CS 485,001,1
1149,CS 486,001,81
1149,CS 488,001,31
1149,CS 488,002,2
1149,CS 499R,001,4
1149,CS 499R,002,1
1149,CS 636,001,1
1149,CS 645,001,10
1149,CS 656,001,0
1149,CS 656,002,0
1149,CS 658,001,2
1149,CS 658,002,4
1149,CS 658,003,0
1149,CS 666,001,11
1149,CS 686,001,10
1149,CS 688,001,4
1149,CS 690A,001,1
1149,CS 697,001,29
1149,CS 743,001,17
1149,CS 755,001,6
1149,CS 768,001,5
1149,CS 770,001,7
1149,CS 798,001,24
1149,CS 840,001,19
1149,CS 854,001,11
1149,CS 856,001,13
1149,CS 860,001,20
1149,CS 860,002,9
1149,CS 867,001,2
1149,CS 882,001,8
1149,CS 886,001,22
1149,CS 888,001,6
1149,CS 889,001,20
1149,CS 898,001,1
1149,MATH 97,001,5
1149,MATH 103,001,59
1149,MATH 103,081,34
1149,MATH 104,001,96
1149,MATH 106,001,58
1149,MATH 106,081,69
1149,MATH 109,001,198
1149,MATH 109,002,129
1149,MATH 114,001,186
1149,MATH 115,001,143
1149,MATH 115,002,121
1149,MATH 115,003,91
1149,MATH 115,004,107
1149,MATH 115,005,99
1149,MATH 115,006,101
1149,MATH 115,007,99
1149,MATH 115,008,83
1149,MATH 115,009,135
1149,MATH 115,010,1
1149,MATH 116,001,141
1149,MATH 116,002,121
1149,MATH 116,003,89
1149,MATH 116,004,106
1149,MATH 116,005,102
1149,MATH 116,006,100
1149,MATH 116,007,93
1149,MATH 116,008,87
1149,MATH 116,009,1
1149,MATH 117,001,114
1149,MATH 117,002,146
1149,MATH 117,003,134
1149,MATH 117,004,117
1149,MATH 117,005,135
1149,MATH 118,001,1
1149,MATH 124,001,209
1149,MATH 127,001,95
1149,MATH 127,002,99
1149,MATH 127,003,98
1149,MATH 127,004,62
1149,MATH 127,005,98
1149,MATH 127,006,96
1149,MATH 127,007,86
1149,MATH 127,008,118
1149,MATH 127,009,0
1149,MATH 127,010,113
1149,MATH 127,081,32
1149,MATH 128,001,115
1149,MATH 128,081,36
1149,MATH 135,001,60
1149,MATH 135,002,205
1149,MATH 135,003,198
1149,MATH 135,004,198
1149,MATH 135,005,188
1149,MATH 135,006,236
1149,MATH 135,007,192
1149,MATH 135,008,207
1149,MATH 135,009,118
1149,MATH 136,001,120
1149,MATH 136,002,119
1149,MATH 136,003,99
1149,MATH 136,081,38
1149,MATH 137,001,60
