term,ccode,section,enrolled
1195,CS 1XX,001,1
1195,CS 3XX,001,1
1195,CS 4XX,001,1
1195,CS 100,081,237
1195,CS 115,001,69
1195,CS 115,002,88
1195,CS 116,001,86
1195,CS 116,002,72
1195,CS 116,003,58
1195,CS 136,001,75
1195,CS 136,002,78
1195,CS 136,003,57
1195,CS 200,001,128
1195,CS 230,001,123
1195,CS 231,001,84
1195,CS 231,002,79
1195,CS 234,001,99
1195,CS 234,002,91
1195,CS 240,001,118
1195,CS 240,002,123
1195,CS 240,003,89
1195,CS 240E,001,43
1195,CS 241,001,74
1195,CS 241,002,89
1195,CS 241,003,90
1195,CS 245,001,101
1195,CS 245,002,97
1195,CS 245,003,98
1195,CS 245E,001,0
1195,CS 246,001,104
1195,CS 246,002,109
1195,CS 246,003,106
1195,CS 247,001,116
1195,CS 251,001,87
1195,CS 251,002,80
1195,CS 251,003,95
1195,CS 330,001,117
1195,CS 330,002,118
1195,CS 338,001,78
1195,CS 338,002,93
1195,CS 341,001,90
1195,CS 341,002,73
1195,CS 348,001,56
1195,CS 348,002,61
1195,CS 349,001,89
1195,CS 349,002,82
1195,CS 350,001,44
1195,CS 350,002,65
1195,CS 350,003,75
1195,CS 360,001,69
1195,CS 370,001,124
1195,CS 370,002,118
1195,CS 371,001,65
1195,CS 432,001,64
1195,CS 446,001,49
1195,CS 446,002,36
1195,CS 449,001,50
1195,CS 449,002,49
1195,CS 454,001,68
1195,CS 454,002,71
1195,CS 456,001,86
1195,CS 456,002,89
1195,CS 458,001,84
1195,CS 458,002,84
1195,CS 466,001,49
1195,CS 475,001,55
1195,CS 480,001,114
1195,CS 480,002,120
1195,CS 486,001,90
1195,CS 486,002,88
1195,CS 486,003,86
1195,CS 488,001,48
1195,CS 490,001,44
1195,CS 492,001,51
1195,CS 499R,001,1
1195,CS 499R,002,1
1195,CS 499R,003,1
1195,CS 499R,004,0
1195,CS 634,081,23
1195,CS 646,001,5
1195,CS 646,002,1
1195,CS 649,001,4
1195,CS 649,002,0
1195,CS 654,001,0
1195,CS 654,002,2
1195,CS 656,001,2
1195,CS 656,002,4
1195,CS 658,001,4
1195,CS 658,002,1
1195,CS 666,001,4
1195,CS 675,001,8
1195,CS 680,001,16
1195,CS 680,002,20
1195,CS 686,001,5
1195,CS 686,002,3
1195,CS 686,003,6
1195,CS 688,001,1
1195,CS 690A,001,1
1195,CS 846,001,32
1195,CS 846,002,26
1195,CS 848,001,10
1195,CS 858,001,8
1195,CS 860,001,9
1195,CS 860,002,0
1195,CS 867,001,3
1195,CS 889,001,24
1195,CS 898,001,12
1195,MATH 97,001,3
1195,MATH 106,081,95
1195,MATH 115,001,39
1195,MATH 115,002,1
1195,MATH 117,001,44
1195,MATH 118,001,65
1195,MATH 118,002,77
1195,MATH 118,003,114
1195,MATH 118,004,100
1195,MATH 118,005,85
1195,MATH 119,001,124
1195,MATH 119,002,115
1195,MATH 127,001,47
1195,MATH 127,081,84
1195,MATH 128,001,51
1195,MATH 128,081,104
1195,MATH 135,001,68
1195,MATH 136,001,37
1195,MATH 136,002,99
1195,MATH 136,003,66
1195,MATH 136,081,103
1195,MATH 137,001,5
1195,MATH 137,081,10
1195,MATH 138,001,75
1195,MATH 138,002,55
1195,MATH 138,081,102
1195,MATH 207,001,29
1195,MATH 218,001,68
1195,MATH 225,001,28
1195,MATH 228,081,41
1195,MATH 235,001,111
1195,MATH 235,002,113
1195,MATH 235,003,119
1195,MATH 235,004,29
1195,MATH 235,081,164
1195,MATH 237,001,120
1195,MATH 237,002,133
1195,MATH 237,003,114
1195,MATH 237,004,27
1195,MATH 239,001,114
1195,MATH 239,002,133
1195,MATH 239,003,85
1195,MATH 239,004,131
1195,MATH 245,001,28
1195,MATH 247,001,33
1195,MATH 455W,001,0
1195,MATH 640,081,61
1195,MATH 650,081,9
1195,MATH 661,081,65
1195,MATH 674,081,7
1195,MATH 690,081,33
1195,MATH 699,081,32
1195,STAT 230,001,148
1195,STAT 230,002,85
1195,STAT 230,003,59
1195,STAT 230,004,30
1195,STAT 230,005,154
1195,STAT 231,001,214
1195,STAT 231,002,98
1195,STAT 231,003,309
1195,STAT 330,001,152
1195,STAT 330,002,100
1195,STAT 331,001,192
1195,STAT 332,001,160
1195,STAT 333,001,188
1195,STAT 333,002,176
1195,STAT 334,001,31
1195,STAT 337,001,89
1195,STAT 340,001,152
1195,STAT 340,002,80
1195,STAT 371,001,83
1195,STAT 372,001,93
1195,STAT 430,001,148
1195,STAT 431,001,173
1195,STAT 440,001,32
1195,STAT 443,001,162
1195,STAT 444,001,57
1195,STAT 830,001,11
1195,STAT 840,001,24
1195,STAT 844,001,8
1195,STAT 938,001,12
1195,STAT 946,001,11
1195,STAT 946,002,5
1195,ACTSC 221,001,53
1195,ACTSC 231,001,183
1195,ACTSC 231,081,64
1195,ACTSC 232,001,76
1195,ACTSC 331,001,45
1195,ACTSC 371,001,123
1195,ACTSC 371,002,95
1195,ACTSC 372,001,101
1195,ACTSC 431,001,60
1195,ACTSC 432,001,77
1195,ACTSC 445,001,98
1195,ACTSC 631,001,16
1195,ACTSC 632,001,16
1195,ACTSC 633,001,16
1195,ACTSC 634,001,16
1195,ACTSC 635,001,16
1195,ACTSC 845,001,5
1195,ACTSC 991,001,14
1195,ACTSC 991,002,1
1195,AMATH 231,001,55
1195,AMATH 242,001,39
1195,AMATH 250,001,155
1195,AMATH 250,081,48
1195,AMATH 332,001,33
1195,AMATH 351,001,55
1195,AMATH 353,001,53
1195,AMATH 495,001,4
1195,AMATH 495,002,3
1195,AMATH 900,001,1
1195,AMATH 900,002,3
1195,AMATH 900,003,1
1195,AMATH 900,004,1
1195,CO 250,001,108
1195,CO 250,002,118
1195,CO 250,081,117
1195,CO 327,001,15
1195,CO 342,001,59
1195,CO 351,001,67
1195,CO 446,001,7
1195,CO 454,001,37
1195,CO 471,001,4
1195,CO 480,001,105
1195,CO 646,001,9
1195,CO 671,001,4
1195,CO 749,001,2
1195,CO 781,001,4
1195,PMATH 321,001,51
1195,PMATH 330,081,88
1195,PMATH 332,001,24
1195,PMATH 336,001,40
1195,PMATH 340,001,47
1195,PMATH 347,001,58
1195,PMATH 351,001,28
1195,PMATH 352,001,32
1195,PMATH 450,001,28
1195,PMATH 464,001,14
1195,PMATH 499,001,2
1195,PMATH 650,001,1
1195,PMATH 764,001,3
1195,COMM 321,001,46
1195,COMM 433,001,36
1195,CM 761,001,1
1195,CM 764,001,1
1195,MTHEL 131,001,48
1195,MTHEL 206A,001,5
