term,ccode,section,enrolled
1199,ACTSC 221,001,81
1199,ACTSC 231,001,179
1199,ACTSC 231,002,94
1199,ACTSC 232,001,65
1199,ACTSC 331,001,61
1199,ACTSC 371,001,108
1199,ACTSC 371,002,77
1199,ACTSC 372,001,69
1199,ACTSC 372,002,71
1199,ACTSC 431,001,60
1199,ACTSC 432,001,52
1199,ACTSC 445,001,43
1199,ACTSC 446,001,64
1199,ACTSC 462,001,64
1199,ACTSC 611,001,12
1199,ACTSC 612,001,12
1199,ACTSC 613,001,12
1199,ACTSC 614,001,12
1199,ACTSC 615,001,12
1199,ACTSC 845,001,1
1199,ACTSC 846,001,1
1199,ACTSC 895,001,16
1199,ACTSC 970,001,37
1199,ACTSC 972,001,19
1199,ACTSC 974,001,18
1199,ACTSC 991,001,8
1199,AMATH 231,001,50
1199,AMATH 250,001,113
1199,AMATH 250,002,65
1199,AMATH 251,001,52
1199,AMATH 271,001,34
1199,AMATH 331,001,59
1199,AMATH 342,001,35
1199,AMATH 343,001,36
1199,AMATH 350,001,142
1199,AMATH 351,001,45
1199,AMATH 391,001,23
1199,AMATH 442,001,12
1199,AMATH 453,001,25
1199,AMATH 456,001,40
1199,AMATH 463,001,9
1199,AMATH 473,001,24
1199,AMATH 477,001,10
1199,AMATH 495,001,0
1199,AMATH 495,002,1
1199,AMATH 495,003,1
1199,AMATH 495,004,1
1199,AMATH 663,001,6
1199,AMATH 673,001,0
1199,AMATH 731,001,19
1199,AMATH 732,001,11
1199,AMATH 740,001,16
1199,AMATH 751,001,13
1199,AMATH 871,001,0
1199,AMATH 875,001,5
1199,AMATH 900,001,0
1199,AMATH 900,002,12
1199,AMATH 900,003,5
1199,AMATH 900,004,1
1199,CS 100,081,384
1199,CS 102W,099,1
1199,CS 104W,002,1
1199,CS 105,001,58
1199,CS 105,002,97
1199,CS 105,003,106
1199,CS 105,004,87
1199,CS 115,001,84
1199,CS 115,002,63
1199,CS 115,003,88
1199,CS 115,004,88
1199,CS 115,005,60
1199,CS 115,006,55
1199,CS 115,007,89
1199,CS 115,008,87
1199,CS 115,009,87
1199,CS 115,010,42
1199,CS 116,001,93
1199,CS 116,002,68
1199,CS 116,003,80
1199,CS 135,001,63
1199,CS 135,002,73
1199,CS 135,003,76
1199,CS 135,004,84
1199,CS 135,005,78
1199,CS 135,006,54
1199,CS 135,007,83
1199,CS 135,008,87
1199,CS 135,009,57
1199,CS 135,010,82
1199,CS 135,011,78
1199,CS 136,001,72
1199,CS 136,002,82
1199,CS 136,003,58
1199,CS 137,001,136
1199,CS 145,001,67
1199,CS 145,002,75
1199,CS 212W,001,1
1199,CS 234,001,120
1199,CS 234,002,118
1199,CS 240,001,78
1199,CS 240,002,79
1199,CS 241,001,69
1199,CS 241,002,68
1199,CS 241,003,90
1199,CS 241E,001,82
1199,CS 245,001,96
1199,CS 245,002,94
1199,CS 245,003,95
1199,CS 245,004,96
1199,CS 245,005,94
1199,CS 245E,001,44
1199,CS 246,001,91
1199,CS 246,002,91
1199,CS 246,003,87
1199,CS 246,004,89
1199,CS 246,005,92
1199,CS 246,006,86
1199,CS 246E,001,53
1199,CS 251,001,85
1199,CS 251,002,84
1199,CS 330,001,113
1199,CS 330,002,119
1199,CS 335,001,83
1199,CS 338,001,89
1199,CS 338,002,89
1199,CS 341,001,90
1199,CS 341,002,88
1199,CS 341,003,91
1199,CS 343,001,89
1199,CS 343,002,80
1199,CS 343,003,40
1199,CS 348,001,98
1199,CS 348,002,69
1199,CS 348,003,60
1199,CS 349,001,81
1199,CS 349,002,66
1199,CS 350,001,74
1199,CS 350,002,86
1199,CS 350,003,87
1199,CS 360,001,55
1199,CS 370,001,73
1199,CS 370,002,88
1199,CS 370,003,86
1199,CS 399,001,1
1199,CS 430,001,67
1199,CS 431,001,23
1199,CS 445,001,44
1199,CS 449,001,59
1199,CS 451,001,46
1199,CS 452,001,16
1199,CS 454,001,46
1199,CS 454,002,45
1199,CS 456,001,98
1199,CS 456,002,93
1199,CS 458,001,75
1199,CS 458,002,65
1199,CS 466,001,50
1199,CS 480,001,63
1199,CS 484,001,56
1199,CS 486,001,73
1199,CS 486,002,71
1199,CS 488,001,32
1199,CS 489,001,2
1199,CS 493,001,12
1199,CS 499R,001,0
1199,CS 499R,002,1
1199,CS 499R,003,1
1199,CS 600,081,17
1199,CS 631,001,22
1199,CS 638,081,27
1199,CS 645,001,2
1199,CS 649,001,3
1199,CS 651,001,29
1199,CS 652,001,1
1199,CS 654,001,0
1199,CS 654,002,0
1199,CS 656,001,3
1199,CS 656,002,2
1199,CS 658,001,0
1199,CS 658,002,2
1199,CS 666,001,4
1199,CS 680,001,44
1199,CS 684,001,25
1199,CS 686,001,9
1199,CS 686,002,8
1199,CS 688,001,2
1199,CS 697,001,13
1199,CS 745,001,11
1199,CS 754,001,22
1199,CS 761,001,25
1199,CS 763,001,0
1199,CS 766,001,8
1199,CS 768,001,3
1199,CS 770,001,6
1199,CS 794,001,40
1199,CS 795,001,10
1199,CS 798,001,13
1199,CS 798,002,18
1199,CS 840,001,0
1199,CS 842,001,29
1199,CS 846,001,16
1199,CS 848,001,14
1199,CS 848,002,21
1199,CS 848,003,0
1199,CS 850,001,0
1199,CS 854,001,13
1199,CS 858,001,18
1199,CS 860,001,0
1199,CS 882,001,12
1199,CS 886,001,0
1199,CS 888,001,8
1199,CS 889,001,0
1199,CS 898,001,10
1199,PMATH 330,001,63
1199,PMATH 331,001,35
1199,PMATH 333,001,43
1199,PMATH 336,001,46
1199,PMATH 340,001,68
1199,PMATH 347,001,68
1199,PMATH 351,001,64
1199,PMATH 440,001,20
1199,PMATH 445,001,29
1199,PMATH 451,001,27
1199,PMATH 453,001,26
1199,PMATH 465,001,27
1199,PMATH 651,001,3
1199,PMATH 665,001,6
1199,PMATH 740,001,3
1199,PMATH 745,001,9
1199,PMATH 753,001,6
1199,PMATH 930,001,5
1199,PMATH 940,001,8
1199,PMATH 945,001,24
1199,PMATH 945,002,6
1199,PHYS 10,001,184
1199,PHYS 10,002,193
1199,PHYS 111,001,197
1199,PHYS 111,002,180
1199,PHYS 111,003,162
1199,PHYS 111,004,217
1199,PHYS 115,001,109
1199,PHYS 115,002,113
1199,PHYS 115,003,89
1199,PHYS 121,001,158
1199,PHYS 121,002,153
1199,PHYS 121,003,121
1199,PHYS 224,001,30
1199,PHYS 225,001,102
1199,PHYS 256,001,153
1199,PHYS 256,002,58
1199,PHYS 275,001,128
