term,ccode,section,enrolled
1151,ACTSC 4XX,001,2
1151,ACTSC 221,081,49
1151,ACTSC 231,001,173
1151,ACTSC 232,001,135
1151,ACTSC 331,001,77
1151,ACTSC 371,001,227
1151,ACTSC 372,001,151
1151,ACTSC 433,001,51
1151,ACTSC 446,001,162
1151,ACTSC 453,001,44
1151,ACTSC 455,001,19
1151,ACTSC 462,001,100
1151,ACTSC 621,001,15
1151,ACTSC 622,001,15
1151,ACTSC 623,001,15
1151,ACTSC 624,001,15
1151,ACTSC 625,001,15
1151,ACTSC 833,001,2
1151,ACTSC 846,001,3
1151,ACTSC 853,001,2
1151,ACTSC 855,001,3
1151,ACTSC 862,001,14
1151,ACTSC 971,001,29
1151,ACTSC 991,001,12
1151,AMATH 231,001,50
1151,AMATH 242,001,34
1151,AMATH 250,001,187
1151,AMATH 331,001,37
1151,AMATH 332,001,26
1151,AMATH 342,001,24
1151,AMATH 350,001,119
1151,AMATH 353,001,42
1151,AMATH 361,001,32
1151,AMATH 373,001,18
1151,AMATH 391,001,17
1151,AMATH 451,001,28
1151,AMATH 455,001,19
1151,AMATH 475,001,17
1151,AMATH 495,001,18
1151,AMATH 495,002,0
1151,AMATH 495,003,1
1151,AMATH 655,001,4
1151,AMATH 675,001,0
1151,AMATH 741,001,17
1151,AMATH 753,001,6
1151,AMATH 777,001,9
1151,AMATH 851,001,7
1151,AMATH 876,001,2
1151,AMATH 882,001,7
1151,AMATH 900,001,4
1151,AMATH 900,002,0
1151,AMATH 900,003,7
1151,AMATH 900,004,1
1151,AMATH 900,005,1
1151,AMATH 900,006,0
1151,AMATH 900,007,2
1151,CS 3XX,001,1
1151,CS 4XX,001,2
1151,CS 100,081,362
1151,CS 115,001,113
1151,CS 115,002,112
1151,CS 115,003,125
1151,CS 116,001,233
1151,CS 116,002,80
1151,CS 116,003,248
1151,CS 116,004,175
1151,CS 116,005,137
1151,CS 135,001,84
1151,CS 135,002,77
1151,CS 136,001,106
1151,CS 136,002,108
1151,CS 136,003,82
1151,CS 136,004,82
1151,CS 136,005,109
1151,CS 136,006,109
1151,CS 136,007,95
1151,CS 136,008,110
1151,CS 138,001,138
1151,CS 146,001,53
1151,CS 230,001,118
1151,CS 230,002,2
1151,CS 234,001,2
1151,CS 240,001,96
1151,CS 240,002,110
1151,CS 240,003,23
1151,CS 241,001,80
1151,CS 241,002,78
1151,CS 241,003,78
1151,CS 245,001,79
1151,CS 245,002,79
1151,CS 246,001,87
1151,CS 246,002,81
1151,CS 251,001,114
1151,CS 251,002,115
1151,CS 330,001,148
1151,CS 330,002,3
1151,CS 330,003,2
1151,CS 335,001,112
1151,CS 338,001,120
1151,CS 341,001,67
1151,CS 341,002,78
1151,CS 341,003,67
1151,CS 341,004,72
1151,CS 341,005,1
1151,CS 343,001,74
1151,CS 343,002,1
1151,CS 348,001,98
1151,CS 348,002,6
1151,CS 349,001,63
1151,CS 349,002,58
1151,CS 349,003,41
1151,CS 349,004,73
1151,CS 349,005,1
1151,CS 350,001,91
1151,CS 350,002,86
1151,CS 350,003,3
1151,CS 360,001,52
1151,CS 365,001,24
1151,CS 370,001,71
1151,CS 370,002,72
1151,CS 371,001,37
1151,CS 399,001,1
1151,CS 399,002,1
1151,CS 430,001,76
1151,CS 430,002,1
1151,CS 436,001,57
1151,CS 442,001,52
1151,CS 444,001,48
1151,CS 445,001,49
1151,CS 446,001,56
1151,CS 447,001,72
1151,CS 447,002,2
1151,CS 448,001,39
1151,CS 448,002,1
1151,CS 449,001,1
1151,CS 450,001,36
1151,CS 452,001,15
1151,CS 454,001,53
1151,CS 454,002,55
1151,CS 454,003,1
1151,CS 456,001,58
1151,CS 456,002,53
1151,CS 458,001,71
1151,CS 458,002,47
1151,CS 462,001,15
1151,CS 467,001,21
1151,CS 473,001,23
1151,CS 476,001,43
1151,CS 483,001,4
1151,CS 485,001,46
1151,CS 485,002,1
1151,CS 486,001,68
1151,CS 486,002,58
1151,CS 486,003,2
1151,CS 487,001,7
1151,CS 488,001,35
1151,CS 488,002,2
1151,CS 490,001,38
1151,CS 492,001,35
1151,CS 499R,001,4
1151,CS 499R,002,1
1151,CS 642,001,4
1151,CS 644,001,3
1151,CS 645,001,7
1151,CS 646,001,1
1151,CS 647,001,3
1151,CS 648,001,2
1151,CS 650,001,0
1151,CS 652,001,1
1151,CS 654,001,4
1151,CS 654,002,2
1151,CS 656,001,3
1151,CS 656,002,2
1151,CS 658,001,0
1151,CS 658,002,0
1151,CS 662,001,3
1151,CS 673,001,1
1151,CS 676,001,12
1151,CS 683,001,1
1151,CS 685,001,1
1151,CS 686,001,10
1151,CS 686,002,0
1151,CS 687,001,3
1151,CS 688,001,2
1151,CS 692,001,0
1151,CS 758,001,19
1151,CS 778,001,3
1151,CS 792,081,15
1151,CS 842,001,16
1151,CS 842,002,4
1151,CS 846,001,14
1151,CS 846,002,17
1151,CS 848,001,17
1151,CS 848,002,10
1151,CS 848,003,5
1151,CS 854,001,12
1151,CS 886,001,21
1151,CS 886,002,16
1151,CS 898,001,9
1151,PMATH 331,001,27
1151,PMATH 332,001,8
1151,PMATH 336,001,32
1151,PMATH 340,001,58
1151,PMATH 347,001,1
1151,PMATH 348,001,20
1151,PMATH 352,001,39
1151,PMATH 367,001,1
1151,PMATH 433,001,0
1151,PMATH 441,001,11
1151,PMATH 446,001,21
1151,PMATH 450,001,35
1151,PMATH 467,001,11
1151,PMATH 499,001,3
1151,PMATH 641,001,9
1151,PMATH 646,001,8
1151,PMATH 650,001,1
1151,PMATH 667,001,5
1151,PMATH 733,001,22
1151,PMATH 763,001,27
1151,PMATH 810,001,12
1151,PMATH 930,001,0
1151,PMATH 950,001,0
1151,PMATH 965,001,7
1151,PHYS 10,001,183
1151,PHYS 111,001,370
1151,PHYS 111,002,108
1151,PHYS 111,081,128
1151,PHYS 112,001,195
1151,PHYS 112,002,194
1151,PHYS 112,003,204
1151,PHYS 115,001,1
1151,PHYS 121,081,82
1151,PHYS 122,001,171
1151,PHYS 122,002,102
1151,PHYS 124,001,170
1151,PHYS 125,001,96
1151,PHYS 125,002,1
1151,PHYS 142W,001,1
1151,PHYS 175,001,83
1151,PHYS 191,001,0
1151,PHYS 233,001,6
1151,PHYS 234,001,77
1151,PHYS 234,002,1
1151,PHYS 239,001,5
1151,PHYS 242,001,56
1151,PHYS 256,001,21
1151,PHYS 256,002,0
1151,PHYS 263,001,42
1151,PHYS 270,001,7
1151,PHYS 280,001,37
1151,PHYS 335,001,39
1151,PHYS 342,001,73
1151,PHYS 359,001,72
1151,PHYS 359,002,49
1151,PHYS 365,001,39
1151,PHYS 375,001,43
1151,PHYS 383,001,16
1151,PHYS 392,001,17
1151,PHYS 394,001,10
1151,PHYS 396,001,16
1151,PHYS 435,001,12
1151,PHYS 441B,001,24
1151,PHYS 467,001,37
1151,PHYS 468,001,10
1151,PHYS 476,001,30
1151,PHYS 621,001,16
1151,PHYS 622,001,23
1151,PHYS 623,001,16
1151,PHYS 635,001,12
1151,PHYS 636,001,23
1151,PHYS 637,001,15
1151,PHYS 638,001,11
1151,PHYS 639,001,15
1151,PHYS 641,001,6
1151,PHYS 643,001,11
1151,PHYS 646,001,10
1151,PHYS 647,001,22
1151,PHYS 649,001,18
1151,PHYS 706,001,21
1151,PHYS 714,001,0
1151,PHYS 715,001,0
1151,PHYS 733,001,0
1151,PHYS 745,001,0
1151,PHYS 747,001,3
1151,PHYS 752,001,1
1151,PHYS 768,001,4
1151,PHYS 768,002,0
1151,PHYS 771,001,0
1151,PHYS 771,002,1
1151,PHYS 773,001,0
1151,PHYS 773,002,0
1151,PHYS 773,003,0
1151,PHYS 773,004,5
1151,PHYS 773,005,2
1151,PHYS 776,001,8
1151,PHYS 777,001,4
1151,PHYS 785,001,0
1151,PHYS 787,001,6
1151,PHYS 788,001,2
1151,PHYS 789,001,0
1151,PHYS 789,002,5
1151,PHYS 790,001,0
1151,PHYS 790,002,2
1151,CO 227,001,46
1151,CO 250,001,110
1151,CO 250,002,77
1151,CO 250,081,68
1151,CO 255,001,26
1151,CO 327,001,29
1151,CO 331,001,47
1151,CO 353,001,52
1151,CO 367,001,16
1151,CO 370,001,119
1151,CO 372,001,94
1151,CO 444,001,8
1151,CO 452,001,2
1151,CO 466,001,1
1151,CO 481,001,6
1151,CO 487,001,113
1151,CO 499,001,1
1151,CO 644,001,9
1151,CO 652,001,9
1151,CO 666,001,5
1151,CO 687,001,0
1151,CO 690,001,1
1151,CO 739,001,7
1151,CO 749,001,10
1151,CO 759,001,26
1151,CO 781,001,2
1151,QIC 750,001,20
1151,QIC 823,001,4
1151,QIC 845,001,15
1151,QIC 885,001,4
1151,QIC 890,001,7
1151,COMM 103,001,47
1151,COMM 231,001,137
1151,COMM 321,001,45
1151,COMM 400,001,37
1151,COMM 421,001,35
1151,COMM 432,001,15
1151,ECE 100A,001,0
1151,ECE 100B,001,132
1151,ECE 100B,002,0
1151,ECE 103,001,146
1151,ECE 103,002,1
1151,ECE 105,001,1
1151,ECE 106,001,143
1151,ECE 106,002,133
1151,ECE 124,001,144
1151,ECE 124,002,142
1151,ECE 150,001,1
1151,ECE 155,001,141
1151,ECE 200A,001,96
1151,ECE 200A,002,100
1151,ECE 200A,003,0
1151,ECE 200B,001,0
1151,ECE 205,001,99
1151,ECE 205,002,104
1151,ECE 222,001,100
1151,ECE 222,002,103
1151,ECE 224,001,70
1151,ECE 224,002,3
1151,ECE 240,001,100
1151,ECE 240,002,106
1151,ECE 250,001,102
1151,ECE 250,002,108
1151,ECE 290,001,100
1151,ECE 290,002,103
1151,ECE 300A,001,113
1151,ECE 300A,002,1
1151,ECE 300B,001,63
1151,ECE 300B,002,63
1151,ECE 300B,003,11
1151,ECE 316,001,120
1151,ECE 318,001,63
1151,ECE 318,002,64
1151,ECE 318,003,9
1151,ECE 327,001,79
1151,ECE 331,001,55
1151,ECE 351,001,69
1151,ECE 356,001,71
1151,ECE 356,002,5
1151,ECE 358,001,77
1151,ECE 358,002,5
1151,ECE 361,001,68
1151,ECE 361,002,3
1151,ECE 375,001,58
1151,ECE 380,001,124
1151,ECE 390,001,72
1151,ECE 390,002,68
1151,ECE 400A,001,0
1151,ECE 400B,001,303
1151,ECE 403,001,2
1151,ECE 404,001,12
1151,ECE 404,002,1
1151,ECE 405,001,21
1151,ECE 406,001,113
1151,ECE 409,001,31
1151,ECE 409,002,0
1151,ECE 414,001,1
1151,ECE 415,001,12
1151,ECE 416,001,24
1151,ECE 417,001,21
1151,ECE 423,001,58
1151,ECE 433,001,22
1151,ECE 444,001,30
1151,ECE 451,001,13
1151,ECE 452,001,1
1151,ECE 453,001,19
1151,ECE 457B,001,65
1151,ECE 459,001,153
1151,ECE 464,001,64
1151,ECE 467,001,75
1151,ECE 473,001,1
1151,ECE 474,001,24
1151,ECE 477,001,23
1151,ECE 481,001,1
1151,ECE 488,001,40
1151,ECE 602,001,37
1151,ECE 605,001,6
1151,ECE 610,001,27
1151,ECE 612,001,20
1151,ECE 614,001,9
1151,ECE 617,001,9
1151,ECE 628,001,17
1151,ECE 653,001,41
1151,ECE 656,001,66
1151,ECE 658,001,0
1151,ECE 666,001,17
1151,ECE 668,001,24
1151,ECE 672,001,12
1151,ECE 686,001,10
1151,ECE 688,001,6
1151,ECE 710,001,6
1151,ECE 730,001,25
1151,ECE 740,001,0
1151,ECE 750,001,6
1151,ECE 770,001,2
1151,ECE 770,002,6
1151,ECE 770,003,2
1151,ECE 770,004,0
1151,ECE 784,001,1
1151,ECE 6601PD,001,9
1151,ECE 6606PD,001,20
1151,ECE 6614PD,001,13
1151,ECE 6618PD,001,32
1151,CM 730,001,1
1151,CM 750,001,8
1151,CM 761,001,0
1151,CM 764,001,0
1151,MATBUS 470,001,64
1151,MATBUS 471,001,75
1151,MATBUS 472,001,55
1151,MATH 97,001,5
1151,MATH 103,081,35
1151,MATH 104,001,38
1151,MATH 104,081,52
1151,MATH 106,001,95
1151,MATH 115,001,1
1151,MATH 116,001,0
1151,MATH 118,001,77
1151,MATH 118,002,121
1151,MATH 118,003,74
1151,MATH 118,004,110
1151,MATH 118,005,100
1151,MATH 118,006,2
1151,MATH 119,001,143
1151,MATH 119,002,132
1151,MATH 119,003,117
1151,MATH 121W,002,1
1151,MATH 122W,004,1
1151,MATH 127,001,63
1151,MATH 127,002,89
1151,MATH 127,003,53
1151,MATH 127,004,99
1151,MATH 127,081,33
1151,MATH 128,001,121
1151,MATH 128,002,120
1151,MATH 128,003,111
1151,MATH 128,004,118
1151,MATH 128,005,111
1151,MATH 128,006,118
1151,MATH 128,007,0
1151,MATH 128,081,35
1151,MATH 135,001,78
1151,MATH 135,002,114
1151,MATH 135,003,115
1151,MATH 135,004,140
1151,MATH 135,005,88
1151,MATH 135,006,85
1151,MATH 135,007,29
1151,MATH 136,001,192
1151,MATH 136,002,184
1151,MATH 136,003,190
