term,ccode,section,enrolled
1189,ACTSC 3XX,001,2
1189,ACTSC 4XX,001,1
1189,ACTSC 221,001,76
1189,ACTSC 231,001,80
1189,ACTSC 231,002,145
1189,ACTSC 231,003,23
1189,ACTSC 232,001,37
1189,ACTSC 232,081,39
1189,ACTSC 331,001,64
1189,ACTSC 371,001,117
1189,ACTSC 371,002,118
1189,ACTSC 372,001,106
1189,ACTSC 372,002,67
1189,ACTSC 372,003,4
1189,ACTSC 431,001,80
1189,ACTSC 432,001,58
1189,ACTSC 445,001,53
1189,ACTSC 445,002,1
1189,ACTSC 446,001,58
1189,ACTSC 446,002,1
1189,ACTSC 462,001,53
1189,ACTSC 611,001,17
1189,ACTSC 612,001,17
1189,ACTSC 613,001,17
1189,ACTSC 614,001,17
1189,ACTSC 615,001,17
1189,ACTSC 845,001,3
1189,ACTSC 846,001,2
1189,ACTSC 895,001,17
1189,ACTSC 964,001,18
1189,ACTSC 970,001,35
1189,ACTSC 972,001,9
1189,ACTSC 974,001,16
1189,AMATH 231,001,50
1189,AMATH 250,001,115
1189,AMATH 250,002,101
1189,AMATH 250,003,1
1189,AMATH 251,001,36
1189,AMATH 271,001,26
1189,AMATH 331,001,61
1189,AMATH 342,001,19
1189,AMATH 350,001,121
1189,AMATH 351,001,53
1189,AMATH 373,001,1
1189,AMATH 390,001,16
1189,AMATH 390,002,26
1189,AMATH 442,001,16
1189,AMATH 456,001,57
1189,AMATH 463,001,9
1189,AMATH 473,001,25
1189,AMATH 495,001,2
1189,AMATH 495,002,1
1189,AMATH 495,003,4
1189,AMATH 495,004,1
1189,AMATH 495,005,0
1189,AMATH 663,001,6
1189,AMATH 673,001,1
1189,AMATH 731,001,24
1189,AMATH 732,001,7
1189,AMATH 740,001,21
1189,AMATH 751,001,16
1189,AMATH 871,001,3
1189,AMATH 900,001,1
1189,AMATH 900,002,0
1189,AMATH 900,003,0
1189,CS 1XX,001,2
1189,CS 2XX,001,5
1189,CS 3XX,001,8
1189,CS 4XX,001,13
1189,CS 100,081,388
